stage,blastomeres,epidermis,eye,gut,hatching.gland,immune,liver,mesenchyme,mucous,neural,periderm,pronephros
  5-6,12.26,0,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.64,0
 36-46,0,0,0.81,0,0,0,0,0,0,0.81,3.22,0
 48-58,0,0,0,0,0,0,0,0,0,1.15,1.72,0
 60-70,0,0,0,0,0.98,0,0,0,0,1.96,3.93,0.98
 72-82,0,0,0.98,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,2.12,0,0,0,0,0,0,5.31,0
 96-106,0,0,1.09,0,0,0,2.19,1.09,0,1.09,6.56,0
108-118,0,0.77,0,0.77,0,1.53,0,0,1.53,0.77,6.13,0
120,0,0,0,5.88,0,1.96,0,0,0,0,9.8,0
