stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,6.29,0
 14-21,0,1,2,0,0,0,0,0,1,0,0,0,3
 24-34,0,0,0,0,0,0,0,0.82,4.1,0,0,0,0.82
 36-46,0,0,0,2.42,0,0.81,0,0,3.22,0,0,0,4.83
 48-58,0,0,0,1.72,0.57,0.57,0,1.15,5.74,0,0,0,1.72
 60-70,0,0,0,2.94,0.98,0,0,0,4.91,0,0,0,0.98
 72-82,0,0,0,0,0,1.96,0,0,5.89,0,0,0,1.96
 84-94,0,0,0,1.06,0,3.19,0,0,3.19,0,1.06,0,0
 96-106,0,0,0,0,0,2.19,1.09,0,2.19,1.09,0,0,0
108-118,0,0,0,0,0.77,0,0,0,0.77,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0
