stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,704.91,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,0,15.77,0,0,0,31.54,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,289.16,21.03,0,0,120.92,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,151.05,0,0,0,44.06,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,22,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,42,1,0,0,5,2,1,15,1,0,14,15,0,0,0
 24-34,0,0,0.82,1.64,7.39,0,0,8.21,0.82,0.82,0,1.64,0,0,0.82,0,0.82,0.82,0.82,0,14.78,2.46,0.82,6.57,85.37,1.64,2.46,0.82,0,20.52,0,0,0,0.82,2.46,23.8,0,6.57,0
 36-46,0,0,0,0,11.28,1.61,0,12.09,3.22,1.61,0,4.03,0.81,0.81,0,0,0.81,1.61,0.81,0,8.86,0,0,1.61,45.92,4.03,1.61,1.61,0,52.37,0,0,0,0.81,0,9.67,0,2.42,0
 48-58,0,0,0,0,9.75,1.72,0,18.94,2.87,0.57,1.72,4.02,0.57,0,0,0,1.15,0,0,0,13.2,1.72,0,4.02,48.2,3.44,1.15,0,0,27.54,0,0,0,0.57,0,9.75,0,3.44,1.15
 60-70,0,0,0,0,11.78,0,0,18.65,0.98,0,1.96,2.94,0,0,0,0,0,0,0,1.96,8.83,0,0.98,0,23.56,0.98,0.98,0.98,0,14.72,0,0,0,1.96,0,1.96,0,1.96,0
 72-82,0,0,0.98,0,4.91,0.98,0,5.89,0,0,0.98,5.89,0,0,0,0.98,0,0.98,0.98,0,17.67,0,0,3.93,25.52,0,0,0.98,0,7.85,0,0,0,0.98,0,1.96,0,1.96,0
 84-94,0,0,0,0,3.19,0,0,3.19,0,1.06,0,0,0,0,0,0,1.06,0,0,0,4.25,2.12,0,1.06,6.37,2.12,0,0,0,23.36,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,1.09,0,2.19,0,0,0,0,0,0,0,0,13.11,0,0,4.37,3.28,0,0,1.09,0,13.11,0,0,0,0,0,0,1.09,2.19,0
108-118,0,0,0.77,0,6.13,0.77,0.77,2.3,0,0.77,1.53,2.3,0,0,0,0.77,0.77,0,0,0,9.19,0,0,0,0.77,0,0,0,0,3.06,0,0,0.77,0,0,0,0,0.77,0.77
120,0,0,0,0,19.6,0,0,0,0,3.92,1.96,0,0,0,0,0,1.96,0,1.96,1.96,19.6,0,0,1.96,7.84,0,0,0,0,39.2,0,0,1.96,0,0,0,0,1.96,0
