stage,blastomeres,epidermis,eye,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,slow.muscle,somites,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0
 24-34,0,0,0,0,0,0,0.82,0,0.82,1.64,0,2.46,0.82,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0
 48-58,0,0,1.15,0,0,0,0,0,0,0,0,1.15,0,0.57,0,0,0,0,0
 60-70,0,0.98,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0.98
 72-82,0,0.98,0.98,0,0,0,0,0,0,0.98,0.98,4.91,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,4.25,1.06,0,0,1.06,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,2.19,0,0,1.09,2.19,0,0,1.09
108-118,0,1.53,0,1.53,0.77,0,0,0.77,0,2.3,0.77,2.3,0,0,0.77,0,0,0,0.77
120,0,5.88,0,0,0,0,1.96,0,0,1.96,0,3.92,0,0,0,1.96,0,0,0
