stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,55,3,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,2.46,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0,1.64,22.16,0,0,1.64,0,0,321.78,0,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,0,0.81,0.81,0,0,4.03,0.81,5.64,0,0,0,0.81,0,0,0,0.81,0,0,0.81,0.81,2.42,0,1.61,12.09,0,0,0.81,0,0,407.67,0,0,0,0,8.06,0,0,0,0,0
 48-58,0,0,0,0,5.16,0,0,23.53,0,21.23,0,1.72,0,0,0.57,0,1.72,0,0,0,1.15,8.61,9.18,0,1.72,45.33,2.3,0.57,0,0,0,920.38,0,0,0,0,12.62,0,0,0,0,1.15
 60-70,0,0,0,0,25.52,0,0,16.69,0,31.41,0.98,4.91,0,0.98,0,0,5.89,0,0,0,0,8.83,4.91,0,0.98,44.17,0,0,0.98,0,0,1176.84,0,0,0.98,0,7.85,0,0.98,0.98,0,0.98
 72-82,0,0,0,0,97.18,0.98,0,47.12,0,46.14,2.94,12.76,1.96,0,1.96,0,23.56,0,0,0.98,0,29.45,12.76,0.98,2.94,82.46,0.98,0,0.98,0,0.98,1479.36,0,0,1.96,0,6.87,4.91,0,1.96,0,3.93
 84-94,1.06,0,0,0,264.45,3.19,0,35.05,0,169.93,0,5.31,10.62,0,1.06,2.12,91.34,0,0,0,0,21.24,39.3,1.06,4.25,59.47,1.06,0,5.31,0,0,4565.7,0,0,1.06,0,4.25,6.37,1.06,1.06,1.06,1.06
 96-106,0,0,1.09,0,381.4,17.49,2.19,76.5,4.37,202.18,5.46,21.86,13.11,0,3.28,14.21,125.68,7.65,6.56,5.46,0,46.99,68.85,3.28,2.19,177.04,3.28,5.46,5.46,0,0,4713.45,0,0,1.09,0,6.56,7.65,3.28,12.02,4.37,4.37
108-118,0,0,1.53,0,410.56,8.43,4.6,40.6,0.77,307.92,0.77,19.92,14.55,0,0,5.36,146.3,1.53,0.77,3.83,0,35.23,81.19,0.77,5.36,117.96,0.77,1.53,2.3,0,0,4542.93,0,0.77,0,0,3.06,11.49,1.53,2.3,3.06,3.06
120,0,0,0,0,264.57,7.84,1.96,15.68,0,166.58,1.96,9.8,5.88,0,0,3.92,45.08,0,1.96,0,0,21.56,39.2,0,3.92,52.91,0,0,1.96,0,0,2191.04,0,1.96,1.96,0,1.96,5.88,0,0,0,0
