stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,2,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,1.64,2.46,0,0,0,0,0,0,0,8.21,0,0,0.82,0,4.1,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,1.61,0,0,7.25,0.81,0.81,0.81,0.81,1.61,0,0
 48-58,0,0,0,0,0,1.72,0,2.87,0.57,0.57,6.31,0,0,0,0,1.15,0,0,0,6.31,0.57,0,0.57,0,1.72,0,0
 60-70,0,0,0,0,0,2.94,0,0.98,3.93,0,3.93,0,0,0.98,0,0,0,0.98,0,7.85,0,0,0,0,2.94,0,0
 72-82,0,0,1.96,0,0,4.91,0,1.96,22.58,0,9.82,0.98,0,0.98,0,1.96,0,0,0,12.76,0,0.98,0,0,4.91,0,2.94
 84-94,0,0,0,1.06,0,5.31,0,2.12,25.49,0,19.12,0,0,0,0,1.06,0,0,0,1.06,0,1.06,1.06,0,2.12,1.06,1.06
 96-106,0,0,2.19,0,1.09,5.46,1.09,1.09,89.61,0,16.39,1.09,0,0,1.09,2.19,0,0,1.09,17.49,0,1.09,2.19,0,4.37,0,0
108-118,0,0,0,1.53,1.53,5.36,0,1.53,104.17,0,19.15,1.53,0.77,0,0,2.3,0,0.77,0,15.32,0,0.77,3.06,0.77,0,0,1.53
120,1.96,0,0,0,0,5.88,0,1.96,86.23,0,9.8,0,0,0,0,0,0,0,0,17.64,0,0,3.92,0,0,0,1.96
