stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,4,0,1,0,0,0,0,1,0,7,1,8,2,1,1,1,0,1,2,4,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0,21.34,0,0.82,0,0,0,0,0.82,6.57,0,0,0
 36-46,0,0,0,0,5.64,0,0,1.61,0,0,0.81,1.61,1.61,29,0,0,0,0,0.81,0,0,3.22,0,0,0.81
 48-58,0,0,0,0,4.02,0,0,1.15,0,0,0,3.44,0,18.36,0,0,0,0,1.72,0,0,5.16,0,0,0.57
 60-70,0,0,0,0,8.83,0,0.98,0,0.98,0,0.98,2.94,0.98,32.39,0,0.98,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,1.96,0,9.82,0,0,0.98,0,0,0,4.91,0.98,21.6,0,0,0,0,0.98,0,0,1.96,0,0,0
 84-94,0,0,1.06,1.06,4.25,1.06,0,0,1.06,0,0,2.12,0,12.74,0,2.12,0,0,2.12,0,0,0,0,0,1.06
 96-106,0,0,0,0,9.84,0,0,0,1.09,0,0,1.09,0,6.56,0,0,0,0,2.19,0,0,0,1.09,0,0
108-118,0,0,2.3,0,2.3,0,0,0.77,2.3,0.77,0,2.3,0,12.26,0,0,0,0,1.53,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,11.76,0,0,0,0,0,0,0,0,0,0,1.96
