stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,22.03,6.29,0,0,15.73,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,8,0,2,0,0,0,2,1,0,0,0,1,0,3,0,5,23,1,0,1,0,3,4,0,6,14,0,0,1,0
 24-34,0,0.82,0.82,0,0,1.64,0,0,0,1.64,0,0,0.82,0,0,0,4.93,0,3.28,28.73,1.64,0.82,0.82,0,2.46,0,0,3.28,8.21,0,0,0.82,0
 36-46,0,0,0,0.81,0,0.81,0,0,0,0,0.81,0,0,0,0,0,3.22,0,0,14.5,0,1.61,0,0,1.61,0,0.81,0.81,4.03,0,0,0,0
 48-58,0,0,0,0.57,0,7.46,0,0,0,2.87,0,0,0,0,0.57,0.57,4.59,0,0.57,26.4,0,0,0.57,0,2.87,0,0,0,4.59,0,0,0,0
 60-70,0,0,0,0.98,0,21.59,0.98,0.98,0.98,1.96,0,0,0,0,0,0,6.87,0.98,0,40.24,0.98,2.94,0,0,0.98,0,0.98,0,4.91,0,0,0,0
 72-82,0,0,0,1.96,0,11.78,0,0,0,0.98,0,0,0,0.98,0,0.98,3.93,0,0,10.8,0,0,0,0,2.94,0,0.98,0,0.98,0,0.98,0,0.98
 84-94,0,0,0,1.06,0,10.62,0,1.06,0,0,0,0,0,0,1.06,0,3.19,0,1.06,7.43,0,0,0,0,6.37,0,1.06,0,2.12,1.06,0,0,0
 96-106,0,0,0,4.37,1.09,6.56,0,0,0,0,1.09,0,0,1.09,0,0,0,0,0,7.65,0,1.09,0,0,3.28,0,0,0,1.09,0,1.09,0,0
108-118,0,0,0,1.53,0,1.53,0,0,0.77,0.77,0,0,0.77,0,0,0,0.77,0,0,6.89,0,0,2.3,0,3.83,0,0,0,0,1.53,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0
