stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0,0
  7-9,2.63,5.26,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,10.51,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,3.15,0,0,0,0
 14-21,0,0,1,5,1,4,0,0,1,0,1,2,34,0,1,0,1,0,5,0,3,12,0
 24-34,0,0,0,2.46,0,1.64,0,0,0,0.82,6.57,0,30.37,0.82,0.82,0.82,0,0.82,0,0.82,0,7.39,0
 36-46,0,0,0,0,0,3.22,0,0,0,0,1.61,0.81,6.45,0,0,0,0,0,0,0,0,2.42,0.81
 48-58,0,0,0,0.57,0,2.87,0,0,1.15,0,1.15,0.57,6.89,0,0,0,0,0.57,0,0,0,1.72,0.57
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,1.96,0.98,0,0,0.98,4.91,0,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,0,0,4.25,1.06,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,1.09,0,0,0,2.19,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0,0,0,0.77,0,3.06,0,0,0.77,0,0,0,0,0,0,0
