stage,axial,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,23.66,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,18.88,0,0,0,0
 14-21,0,0,3,0,0,3,0,8,0,1,0,2
 24-34,0,0,0,0,0,0,0,7.39,0,0,0,1.64
 36-46,0,0,0,0.81,0,0,0,7.25,0,0,0.81,0
 48-58,0,0,0.57,0,0,0,0,2.87,0,0,0,0
 60-70,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0.98,1.96,4.91,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0
