stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,32.83,0,0,0.82,0,1.64,0,0,0,0,0,0.82,0,0,0,0.82,0,0.82,2.46,0,0.82,10.67,0,0,0,0,59.92,1.64,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,22.56,0,0,3.22,0,8.06,0,1.61,1.61,0,0,0,0,0,0.81,0.81,0,1.61,1.61,0,0,13.7,0,0,0,0,82.98,2.42,0.81,1.61,0,0,0,0,0
 48-58,0,0,0,0,7.46,0,0,5.74,0,3.44,0,0.57,13.2,0.57,0,0,0,0,0,0,0.57,0.57,0.57,0,0,10.9,0,0,0,0,30.99,0,0,1.72,0,0,0,0,0
 60-70,0,0,2.94,0,1.96,0,0,10.8,0.98,1.96,0.98,3.93,71.65,0,0,0,0,0.98,0,2.94,0,6.87,0,0.98,0,28.46,0,0,0,0,3.93,0.98,0,1.96,0,0,0,0,0
 72-82,0,0,8.83,0.98,14.72,4.91,0,57.92,0.98,0.98,0.98,9.82,242.47,0,0.98,1.96,0.98,3.93,0,7.85,0.98,35.34,0.98,0.98,3.93,152.16,0,3.93,1.96,2.94,24.54,0,0,13.74,0.98,0.98,5.89,1.96,4.91
 84-94,0,0,5.31,3.19,14.87,12.74,0,27.61,0,5.31,2.12,9.56,444.99,0,0,8.5,2.12,3.19,3.19,8.5,1.06,36.11,2.12,1.06,4.25,94.52,1.06,4.25,1.06,0,77.53,0,2.12,5.31,0,0,4.25,1.06,1.06
 96-106,0,0,10.93,14.21,28.41,19.67,4.37,75.41,3.28,6.56,3.28,31.69,573.74,1.09,0,6.56,1.09,3.28,2.19,7.65,1.09,38.25,2.19,2.19,13.11,226.22,1.09,7.65,3.28,1.09,39.34,0,1.09,4.37,1.09,1.09,8.74,0,3.28
108-118,0,0,3.83,18.38,13.79,8.43,2.3,36,0,3.06,2.3,17.62,650.3,0,0,4.6,2.3,2.3,3.06,13.02,2.3,36,0.77,3.06,6.13,198.38,0.77,1.53,0.77,0.77,21.45,0,0,5.36,3.83,1.53,3.06,0.77,3.83
120,1.96,0,3.92,3.92,9.8,3.92,1.96,25.48,0,1.96,0,5.88,454.67,0,1.96,1.96,1.96,0,1.96,15.68,0,15.68,0,1.96,1.96,145.02,1.96,1.96,1.96,1.96,7.84,1.96,1.96,0,0,0,1.96,1.96,0
