stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,3.15,0,0,261.2,0,0,0,6.29,0,0,6.29,0,0,0,0,0
 14-21,1,0,0,0,467,24,2,0,2,0,48,18,0,0,1,0,0,0,0,30,1,0,13,110,81,1,2,432,0,3,804,13,2,185,879,0,0,4,0,1
 24-34,0,0,0,0,70.59,3.28,12.31,9.85,12.31,14.78,89.47,12.31,1.64,0,0,0,0,0,4.1,82.91,0,0,100.14,102.61,27.09,1.64,0,0,0,1.64,4.1,0.82,37.76,294.69,607.43,0,0,35.3,0,0.82
 36-46,0,0,0,0,8.06,0,9.67,34.64,8.86,32.23,42.7,10.47,0,0.81,0,0,0,0,0.81,161.13,0,0,108.77,77.34,4.03,0,0,0,0,0.81,0.81,0.81,32.23,11.28,657.43,0,0,14.5,0,1.61
 48-58,0,0,0,0,8.03,0.57,18.94,18.36,10.33,35.58,46.48,2.3,0,0.57,0,0.57,0.57,0.57,2.3,171.57,0,6.89,73.45,76.32,6.31,0.57,0,0,0,1.72,0,0.57,17.21,0,607.09,0,0,7.46,1.15,1.15
 60-70,0,0,0,0,2.94,0,20.61,6.87,9.82,38.28,34.35,7.85,0,0,0,0,0,1.96,0.98,105.02,0,8.83,35.33,53,0.98,0,0,0,0,0,0,0,7.85,0,410.28,0,0,11.78,1.96,2.94
 72-82,0,0,1.96,0,5.89,0,33.38,2.94,4.91,48.1,104.06,13.74,0,0.98,0,0.98,0,0,0.98,196.33,0.98,12.76,40.25,61.84,4.91,0,0.98,0,0,0,0,0,2.94,0,267.99,0.98,0,8.83,8.83,1.96
 84-94,0,0,1.06,0,12.74,3.19,37.17,0,10.62,37.17,66.91,29.74,0,0,0,1.06,1.06,0,0,148.69,1.06,12.74,42.48,32.92,3.19,1.06,0,0,0,1.06,0,5.31,4.25,0,190.1,0,1.06,14.87,5.31,2.12
 96-106,0,0,0,0,18.58,0,21.86,1.09,12.02,32.79,57.92,27.32,0,0,1.09,1.09,0,1.09,0,126.77,1.09,9.84,37.16,33.88,6.56,0,0,1.09,1.09,1.09,0,1.09,4.37,0,83.06,0,0,13.11,10.93,2.19
108-118,0,0,1.53,0,8.43,0,7.66,3.83,6.89,28.34,44.43,19.92,0,0,0,0,0,0,0,95.75,0,5.36,29.11,45.96,3.83,0,0,0,0,0,0,0,2.3,0,51.32,0,0,10.72,3.83,2.3
120,0,0,0,0,11.76,1.96,0,5.88,5.88,25.48,35.28,11.76,0,0,0,1.96,0,0,0,129.35,0,1.96,39.2,23.52,1.96,0,0,0,0,3.92,0,1.96,1.96,0,41.16,0,0,11.76,3.92,0
