stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.32,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,2.63,0,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,34.17,5.26,0,0,86.75,0,23.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,40.91,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,0,151.05,0,6.29,0,84.97,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,1,4,57,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5,0,0,0,4,0,1,2,0,0,4,6,2,1,5,12,0,0,5,0,0
 24-34,0,0,0.82,3.28,18.88,227.38,0,1.64,3.28,6.57,0,1.64,0,4.1,6.57,4.93,0,1.64,0,0,13.95,2.46,0,4.1,33.66,1.64,27.09,8.21,0,0,28.73,0,9.03,0,18.88,24.63,0,0,18.88,0,0.82
 36-46,0,0,0,0,6.45,65.26,0,0.81,0,8.86,0,2.42,0,1.61,5.64,0.81,0,2.42,0.81,1.61,11.28,0,0,2.42,21.75,0,17.72,7.25,0,0,18.53,0,14.5,0,0,16.92,0,0,8.06,0,0
 48-58,0,0,0,0.57,4.59,50.49,0,5.16,1.15,7.46,1.72,2.3,0.57,4.59,9.75,0.57,0,2.87,1.15,0,14.35,1.15,0.57,1.15,14.92,0,14.92,8.03,0,0,6.89,0,5.74,0,0,4.02,0,0,5.74,0,0
 60-70,0,0,0.98,0,11.78,39.26,0,1.96,1.96,4.91,0.98,7.85,0.98,5.89,19.63,2.94,0.98,11.78,0,0,19.63,0.98,0,0,13.74,0,23.56,11.78,0,0,5.89,0,14.72,0,0,7.85,0.98,0,6.87,0,0.98
 72-82,0,0,15.71,0.98,21.6,71.66,0,4.91,0.98,8.83,2.94,25.52,0,12.76,50.06,2.94,0,18.65,5.89,0,37.3,0,0,0.98,16.69,0,24.54,35.34,0,0.98,13.74,0,15.71,0,0,0,5.89,0,28.47,0,0
 84-94,0,0,11.68,2.12,29.74,79.65,0,5.31,5.31,3.19,5.31,30.8,2.12,2.12,63.72,12.74,0,9.56,3.19,0,25.49,1.06,1.06,3.19,15.93,0,53.1,31.86,0,2.12,25.49,0,24.43,0,0,5.31,9.56,0,15.93,1.06,0
 96-106,0,0,24.04,4.37,37.16,121.31,1.09,7.65,10.93,4.37,4.37,60.11,0,18.58,75.41,5.46,0,14.21,9.84,1.09,19.67,3.28,2.19,1.09,24.04,0,92.89,51.36,0,0,26.23,0,24.04,0,0,2.19,24.04,0,22.95,1.09,0
108-118,0,0,10.72,4.6,49.02,155.49,1.53,5.36,11.49,3.83,3.83,60.51,0,1.53,88.09,10.72,0,17.62,12.26,0,18.38,0.77,0.77,0,22.98,0,42.89,50.55,0,0,17.62,0,39.83,0,0,2.3,22.21,0,20.68,0.77,0
120,0,0,9.8,0,47.03,188.14,0,1.96,19.6,0,1.96,86.23,0,1.96,103.87,11.76,0,15.68,17.64,0,7.84,0,0,0,23.52,0,25.48,23.52,0,0,29.4,0,19.6,0,0,0,29.4,1.96,39.2,0,0
