stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,435.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,2.63,0,0,0,34.17,0,0,0,0,2.63,0,0,0,0,0,0,0,247.1,10.51,0,0,78.86,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,154.2,0,0,0,72.38,0,0,12.59,0,0,0,0
 14-21,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3,13,0,0,0,1,3,7,0,5,8,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0,0.82,0,0,0,3.28,0,0,0,0,0.82,0,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,1.61,0.81,0.81,0.81,0,0,0,0,0,0.81,0,0,1.61,4.83,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0,0,1.15,0,0,0,0.57,0,1.72,0,0,1.15,8.61,0,0,0,0,1.72,0,0,0,2.87,0.57,0
 60-70,0,0,0,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0,0,0.98,0.98,3.93,0.98,0,0,0,1.96,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,0.98,0,1.96,0,0,2.94,0,0,0,0,0,1.96,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,0,3.19,0,0,0,0,0,0,0,0,1.06,0,0,0,3.19,0,0,1.06,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,1.09,0,0,0,0,1.09,0,1.09,0,0,4.37,0,1.09,1.09,0,3.28,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,2.3,0,0,0.77,0.77,0,0.77,0,0,0,0,0,0,5.36,0.77,0,0,0,3.83,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,1.96,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
