stage,axial,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0.82,0,2.46,0,0,0,0,0,0,0,0.82,5.75,0,0,6.57,0.82,1.64,0,0.82,0
 36-46,0,0,0,1.61,0.81,0,0,0,2.42,0,0.81,0,0,0,0,0,0,0,0,6.45,0,0,16.92,0,0,0,0,0
 48-58,0,0.57,0,3.44,1.15,0.57,0.57,0,0,0,0.57,0,0,0,0,1.15,1.15,0,0,6.89,0,0,45.33,0,0.57,0,0.57,0
 60-70,0,0,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0,0,1.96,0,0,0,2.94,0,0,63.8,0,0.98,0,0,0
 72-82,0,3.93,0.98,2.94,2.94,0,0,0.98,0,0,4.91,0,0,0,0,2.94,1.96,0,0,5.89,1.96,0,157.07,0,0.98,0,0.98,0
 84-94,0,5.31,1.06,1.06,5.31,0,1.06,4.25,0,0,5.31,0,0,0,0,2.12,1.06,1.06,0,2.12,2.12,1.06,253.83,1.06,0,0,0,0
 96-106,0,19.67,0,7.65,14.21,0,3.28,8.74,1.09,0,19.67,1.09,4.37,0,1.09,1.09,7.65,0,1.09,15.3,3.28,0,549.7,0,1.09,0,0,0
108-118,0,29.11,0.77,6.89,10.72,0,2.3,8.43,0,1.53,22.21,0,0,0.77,0,1.53,9.19,0.77,0,6.89,3.83,0,337.79,0,0,1.53,0.77,0.77
120,0,17.64,0,0,9.8,0,3.92,1.96,0,0,9.8,0,0,1.96,0,0,1.96,0,0,9.8,3.92,0,295.93,0,0,0,0,0
