stage,epidermis,eye,fin.mesenchyme,glial,immune,mesenchyme,muscle,neural,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,2,0,1,0,1,3,0,0
 24-34,0,0.82,0,0,0,0,0,5.75,0,0,0,0,2.46,0.82,0
 36-46,0,0,0,0,0,0,0,8.86,0,0,0.81,0,3.22,0,0
 48-58,0,0.57,0,0.57,0,0.57,0,6.31,0,0,0,0,0.57,0,0
 60-70,0,4.91,0,0,0,0.98,0,4.91,0,0,0.98,0,0.98,0,0
 72-82,0,0,0,1.96,0,1.96,0.98,6.87,0.98,0,0.98,0,0,0,0.98
 84-94,0,2.12,0,0,0,2.12,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,1.09,1.09,0,6.56,0,1.09,1.09,0,1.09,0,0
108-118,0.77,0.77,0.77,0,0,0,0.77,3.83,0,0.77,0,0,0,0,0
120,0,1.96,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0
