stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4,20,5,0,6,0,0,0,6,1,0,1,0,2,0,0,0,0,17,0,0,10,109,5,0,0,4,0,5,15,1,0,15,45,0,0,0,0,0
 24-34,0.82,0.82,7.39,0.82,0,19.7,0,0,1.64,9.03,0.82,0,0.82,0.82,3.28,0,0,2.46,1.64,18.06,1.64,0,6.57,206.03,1.64,12.31,3.28,0,0,30.37,0,0,0,5.75,53.36,0,0,3.28,0,1.64
 36-46,0,0,4.83,0,0,29.81,0,0.81,0.81,8.06,0,0,0,0,0.81,0,0.81,0,0,18.53,0,0.81,8.06,169.19,0.81,8.86,1.61,0,0,25.78,0,0,0,0,41.89,0,0,4.83,0,0.81
 48-58,0.57,0.57,2.87,0,0,45.9,0.57,1.72,1.15,14.35,0.57,0,1.15,0,0,0,0.57,0,0,21.23,0.57,0.57,2.87,115.33,0.57,6.31,3.44,0,0,17.21,0,0,0,0,27.54,0,0,2.3,0,0
 60-70,0,0,3.93,0,0,56.93,0,1.96,1.96,24.54,0,0,0,0,1.96,0,0.98,0.98,0,33.37,0,4.91,3.93,141.34,0,7.85,2.94,0,0,21.59,0,0,0,0,20.61,0,0.98,0.98,0,0.98
 72-82,0,0,7.85,0,0,53.01,0,0.98,1.96,17.67,2.94,0,1.96,1.96,2.94,0,0.98,0,1.96,36.32,1.96,3.93,6.87,108.96,0.98,7.85,1.96,0,0.98,20.61,0,1.96,0,0,14.72,0.98,0,3.93,0.98,0
 84-94,2.12,0,8.5,0,2.12,25.49,0,4.25,2.12,12.74,1.06,1.06,1.06,1.06,2.12,1.06,3.19,3.19,1.06,10.62,0,4.25,3.19,64.78,0,4.25,3.19,0,1.06,78.59,0,1.06,1.06,0,3.19,3.19,1.06,3.19,0,0
 96-106,0,1.09,9.84,2.19,0,24.04,0,2.19,4.37,10.93,2.19,0,0,1.09,0,0,2.19,3.28,0,16.39,1.09,1.09,3.28,56.83,1.09,12.02,3.28,0,1.09,59.01,0,1.09,0,0,3.28,0,1.09,1.09,1.09,0
108-118,0.77,0.77,11.49,0,2.3,19.15,0,2.3,0.77,10.72,3.83,0,0,3.83,1.53,0,1.53,3.83,1.53,11.49,2.3,1.53,6.13,52.09,0,6.13,0.77,0,0.77,40.6,0,0,0,0,3.06,2.3,0,1.53,0.77,0.77
120,0,0,15.68,0,0,13.72,0,3.92,0,9.8,0,0,0,0,3.92,0,1.96,1.96,0,21.56,0,0,1.96,35.28,3.92,3.92,1.96,0,0,52.91,0,0,0,0,1.96,1.96,0,0,0,0
