stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,25,0,0,0,0,0,0,1,0,0,1,45,0,0,0,0,0
 24-34,0,3.28,1.64,3.28,0,0.82,0,1.64,0,0.82,0,0.82,0,0,0,0,0.82,0,4.93,0,0,4.1,78.8,0,0,0,0,0,0,0,0,0,0.82,88.65,0,0,0,0,0
 36-46,0,4.03,0,0.81,0,12.09,0,0,0,3.22,0,0.81,0,0,0,0,0,0,1.61,0,0,0,140.99,0,0,0,0,0,0,0,0,0,0,105.54,0,0,0,0,0
 48-58,0,2.3,0,0,0,75.74,0,0.57,0,2.3,0,0,0,0,0,0,0.57,0,8.61,0,0,1.15,195.09,0.57,0,0,0,0,0.57,0,0,0,0,65.41,0,0,0.57,0,0
 60-70,0,0.98,0,0,0,315.07,0.98,0.98,0,5.89,0,0,0,0,0.98,0,0,0,7.85,0,0,1.96,426.96,0,0.98,0.98,0,0,0,0,0,0,0,93.24,0,0,0.98,0,0
 72-82,0,0.98,0,6.87,2.94,506.54,0.98,1.96,0.98,26.5,0.98,0,0,0,0,0,0,0,35.34,0,1.96,1.96,622.37,0,0,0,0,0.98,0.98,0,0.98,0.98,0,84.42,0.98,0.98,0,0.98,1.96
 84-94,0,1.06,0,7.43,3.19,320.74,0,0,2.12,26.55,1.06,0,0,1.06,1.06,0,1.06,1.06,31.86,1.06,2.12,0,380.21,0,0,1.06,0,0,1.06,0,1.06,0,0,32.92,0,4.25,2.12,2.12,0
 96-106,0,1.09,0,7.65,2.19,349.71,2.19,1.09,1.09,29.51,0,0,0,0,0,1.09,1.09,0,32.79,0,2.19,1.09,332.23,1.09,0,3.28,0,0,5.46,0,0,2.19,0,29.51,0,0,1.09,0,0
108-118,0,0.77,0,3.83,1.53,363.07,0.77,0.77,2.3,36.77,0.77,0,0,0.77,1.53,0,2.3,0.77,25.28,0,0.77,6.13,368.43,0.77,0,0,0,0,3.83,0,0.77,1.53,0,21.45,0.77,0,2.3,1.53,0.77
120,0,1.96,0,0,5.88,303.77,0,5.88,1.96,39.2,3.92,0,3.92,0,0,0,1.96,0,15.68,0,1.96,3.92,427.23,1.96,1.96,0,0,0,5.88,0,0,0,0,25.48,0,0,0,0,0
