stage,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,iridophores,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,2,0,2,2,0
 24-34,0,0,0.82,0,0,0,0,0,0.82,0,0,8.21,0.82,0,0,0,0,0,0,0.82,0
 36-46,0.81,0,2.42,0,0,0.81,0,0,1.61,0,0,12.09,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0.57,0.57,0,1.72,0,0,1.72,0,0,2.3,0,0,0,0,0,0,0,0.57,0
 60-70,0.98,0,0,0,0,0.98,0.98,0,0.98,0,0,3.93,0,0,0,0,0,0,0,0,0
 72-82,3.93,0,0.98,0,0,2.94,0,0.98,3.93,0,0,1.96,0,0,0,0,0,0,0,0,0.98
 84-94,5.31,0,0,0,0,1.06,1.06,0,1.06,0,0,2.12,0,0,0,0,0,1.06,0,0,0
 96-106,1.09,1.09,1.09,0,0,1.09,0,0,0,1.09,0,2.19,0,0,0,1.09,0,0,0,0,0
108-118,3.83,0,0,0,0.77,1.53,0,0,2.3,0,0.77,1.53,0,0,0,2.3,0,0,0,0,0
120,3.92,0,3.92,0,0,1.96,0,0,3.92,0,1.96,9.8,0,0,0,1.96,0,0,0,0,1.96
