stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,0,0,0,0,3.15,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,5,0,3,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,2,38,1,0,0,0,0,2,0,1,1,2,2,11,0,0,3,0,0
 24-34,0,0.82,2.46,3.28,0,2.46,0,0,1.64,1.64,0,0,0.82,2.46,1.64,0,0.82,0.82,27.09,0,0,9.85,77.98,1.64,1.64,0,0,0,5.75,0,0,0.82,1.64,0.82,27.09,0,0,23.8,0,3.28
 36-46,0,0,0.81,0.81,0,9.67,1.61,0.81,2.42,4.03,0,0,2.42,3.22,2.42,0,0,0.81,29,0,0,3.22,94.26,0,0.81,0.81,0,0,4.03,0,0,0,0,0,33.03,0,0,13.7,0,1.61
 48-58,0,0.57,1.15,0,0,31.56,0.57,1.72,3.44,9.18,0,1.15,3.44,1.15,5.16,0,0,1.72,53.94,0,1.15,6.89,115.91,0,2.87,1.15,0,0,4.02,0,0,0.57,1.72,0,29.84,0,1.15,11.48,0,5.74
 60-70,0,0,2.94,0,0,59.87,0,1.96,3.93,18.65,0.98,0,10.8,0.98,8.83,0,0.98,2.94,68.71,0,0.98,3.93,151.15,0,5.89,0.98,0,0.98,0.98,0,0,1.96,0,0,25.52,0.98,1.96,12.76,0,4.91
 72-82,0,0.98,4.91,2.94,0,150.19,2.94,2.94,3.93,27.49,1.96,2.94,22.58,0,2.94,1.96,0,0,93.26,0.98,5.89,9.82,187.5,0,3.93,1.96,0,1.96,8.83,0,0,0,0.98,0,9.82,2.94,3.93,32.39,2.94,5.89
 84-94,0,3.19,4.25,0,0,89.21,1.06,0,3.19,21.24,2.12,5.31,27.61,5.31,14.87,1.06,2.12,3.19,59.47,0,3.19,4.25,112.58,0,3.19,2.12,0,1.06,22.3,0,0,2.12,0,0,9.56,5.31,1.06,20.18,3.19,1.06
 96-106,0,2.19,5.46,0,0,93.98,0,1.09,3.28,14.21,4.37,4.37,38.25,2.19,7.65,0,3.28,2.19,73.22,0,1.09,2.19,114.75,0,3.28,3.28,0,3.28,15.3,0,0,0,0,0,5.46,5.46,0,34.97,3.28,4.37
108-118,0,0.77,5.36,0.77,0.77,94.98,0,1.53,0.77,29.87,4.6,0.77,32.17,1.53,23.74,2.3,2.3,0.77,32.17,0.77,3.83,3.83,104.17,0,0.77,2.3,0,3.06,14.55,0,0,1.53,0.77,0,3.06,3.06,0.77,18.38,3.83,1.53
120,0,0,15.68,0,0,80.35,0,1.96,1.96,25.48,1.96,1.96,66.63,3.92,11.76,1.96,0,1.96,33.32,0,1.96,3.92,158.74,0,1.96,0,0,0,9.8,0,0,0,0,0,9.8,5.88,0,31.36,0,0
