stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.15,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,119.58,0,88.12,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,2086.44,3.15,0,0,132.17,0,0,0,0,311.55,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,1,133,69,0,351,0,1,0,2,42,0,0,2,0,0,0,0,53,0,0,10,1159,6,0,180,24,0,1,0,13,161,0,12,140,0,0,1,0,0
 24-34,0.82,0,0,77.16,0.82,0,273.35,0.82,0.82,0.82,4.93,5.75,0,0,0.82,0,0,0.82,0.82,27.91,0,0,4.93,1256.73,1.64,2.46,112.46,0,0,3.28,0,0,73.88,0.82,4.93,249.54,0,0,6.57,0,0
 36-46,0,0,0,26.59,1.61,0,196.58,0,0,0.81,6.45,3.22,0.81,1.61,0,0.81,0.81,0,0,11.28,0.81,0,4.83,1662.1,1.61,1.61,62.04,0,0,6.45,0,0.81,44.31,0,0.81,314.21,0,0,4.03,0,0
 48-58,0.57,0,0.57,30.99,0.57,0,235.83,1.15,1.72,2.3,41.89,1.72,1.72,1.72,0.57,1.72,2.3,0,1.72,34.43,0,1.72,7.46,1998.56,2.3,2.87,64.84,0,0,6.89,0,0,31.56,1.15,0,439.53,0,0,4.59,0,1.72
 60-70,0,0.98,0.98,19.63,0.98,0,139.38,0,1.96,2.94,22.58,0,0,1.96,0,2.94,0.98,0,0,32.39,0,1.96,6.87,1439.89,0,0.98,60.85,0,0,13.74,0,0,33.37,0.98,0,346.48,0,0,0.98,0.98,0.98
 72-82,0,0.98,1.96,16.69,10.8,0,160.01,0.98,2.94,1.96,61.84,0,0.98,2.94,0,0.98,8.83,0,0,72.64,0,3.93,3.93,1084.74,0,0.98,102.09,0,0.98,7.85,0,0,56.94,0,0,185.53,0.98,0.98,1.96,1.96,1.96
 84-94,0,0,3.19,31.86,3.19,0,161.43,1.06,5.31,3.19,35.05,6.37,1.06,1.06,2.12,2.12,0,0,0,36.11,0,1.06,4.25,622.35,1.06,2.12,125.32,0,0,4.25,0,0,146.56,1.06,0,122.13,0,0,3.19,4.25,3.19
 96-106,0,0,2.19,30.6,8.74,1.09,107.1,1.09,1.09,0,49.18,4.37,0,2.19,0,3.28,13.11,3.28,0,27.32,0,0,4.37,424.02,0,0,131.14,0,1.09,7.65,1.09,0,130.05,0,0,50.27,1.09,0,1.09,0,2.19
108-118,0,0,9.19,14.55,2.3,1.53,52.85,0,0.77,0.77,26.04,1.53,0,1.53,0,0.77,8.43,1.53,0,29.87,0.77,2.3,3.06,477.96,0,0.77,114.13,0,0,1.53,0,0,117.19,0,0,33.7,0,0.77,1.53,0,0
120,0,0,1.96,19.6,1.96,0,45.08,0,1.96,3.92,23.52,3.92,1.96,1.96,0,0,1.96,1.96,1.96,21.56,0,13.72,7.84,562.46,1.96,0,105.83,0,0,5.88,1.96,0,80.35,0,0,13.72,0,1.96,0,3.92,0
