stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,0,79.07,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,55.17,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,10.51,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,3,0,0,0,0,1,0
 24-34,0,0,0,0.82,0,0.82,0.82,1.64,0.82,0,0,0.82,0.82
 36-46,0,0,0,0.81,0,0.81,2.42,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0.57,3.44,0,0,0,0,1.72,0
 60-70,0,0.98,0,0.98,0,0,4.91,0,0,0,0,0,0
 72-82,0,0,0,1.96,0.98,0.98,1.96,0,0,0,0,0,0
 84-94,0,1.06,1.06,1.06,0,0,2.12,1.06,0,0,0,1.06,1.06
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,0,0,1.09
108-118,0,0.77,0,0,0,0.77,1.53,0,0,0,0,0,0
120,0,0,0,3.92,1.96,0,1.96,0,0,0,0,0,0
