stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,386.17,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,13.14,0,26.29,0,0,36.8,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,323.33,13.14,0,0,128.81,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,47.2,0,0,28.32,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,308.4,22.03,0,0,154.2,0,0,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,25,1,9,0,0,0,3,5,1,0,0,2,0,0,0,7,0,0,7,73,1,0,1,3,0,4,1,17,2,1,21,25,0,0,0,0,0
 24-34,0,0,0,0.82,18.88,1.64,27.09,0,5.75,4.1,9.03,0,0,0.82,0,0,0,2.46,0.82,46.79,1.64,0,22.98,296.33,5.75,4.1,4.1,0,0,13.13,0,0.82,2.46,0,12.31,74.7,0,0,9.03,0,0.82
 36-46,0,0,0.81,0.81,3.22,0.81,32.23,0,0.81,7.25,15.31,1.61,0,1.61,0,0.81,0.81,3.22,1.61,62.04,0,2.42,15.31,215.11,0,4.03,4.03,0,0,6.45,0,0,0,0,0,60.43,0,0,6.45,0,1.61
 48-58,0,0,0,0,4.02,1.72,43.61,0,1.72,5.74,14.92,0.57,0,1.15,2.87,1.15,0,0.57,0.57,56.81,1.15,1.15,9.18,145.75,1.15,4.02,3.44,0,0,5.16,0,0,0,0,0,30.99,0,0.57,6.89,0,0
 60-70,0,0,0.98,0.98,8.83,2.94,106,0,0,5.89,35.33,0,0,0,1.96,2.94,0,0.98,0.98,97.17,0.98,4.91,6.87,212.01,0,7.85,1.96,0,0,9.82,0,0,0,0,0,39.26,0,2.94,3.93,0,0
 72-82,0,0,1.96,0,12.76,1.96,83.44,0,1.96,11.78,30.43,2.94,0,0,7.85,1.96,1.96,4.91,1.96,73.62,0,4.91,2.94,133.51,0,7.85,6.87,0,0.98,13.74,0,0,1.96,0,0,14.72,2.94,0.98,7.85,2.94,0.98
 84-94,0,0,0,0,6.37,1.06,30.8,0,0,4.25,6.37,4.25,0,1.06,5.31,0,0,2.12,2.12,56.29,1.06,2.12,1.06,44.61,1.06,6.37,5.31,0,1.06,12.74,0,0,1.06,0,0,8.5,2.12,3.19,10.62,1.06,0
 96-106,0,0,2.19,0,20.76,8.74,36.06,1.09,2.19,2.19,9.84,3.28,0,0,14.21,3.28,2.19,4.37,2.19,17.49,1.09,0,2.19,38.25,1.09,4.37,5.46,0,1.09,17.49,0,0,1.09,0,0,1.09,1.09,0,7.65,3.28,0
108-118,0,0,0,0,9.96,3.83,32.17,0,1.53,3.83,16.85,3.06,0,0,9.19,2.3,0,3.83,0.77,32.94,0.77,0.77,0,69.7,0,8.43,6.13,0,0,16.09,0,0,0.77,0,0,1.53,3.06,4.6,10.72,2.3,0
120,0,0,0,0,25.48,9.8,25.48,0,3.92,0,17.64,5.88,0,0,9.8,0,1.96,1.96,0,17.64,1.96,0,0,58.79,1.96,11.76,9.8,0,0,29.4,0,0,0,0,0,0,0,0,5.88,0,0
