stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,23.66,2.63,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,37.76,0,0,0,0,0,0,0,22.03,3.15,0,0,6.29,0,3.15,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,14,0,0,0,0,1,0,3,3,0,1,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0.82,0,0,0,3.28,1.64,13.13,0,1.64,0.82,0,13.13,0,0,4.1,0,0,0
 36-46,0,0,0,0,0,4.03,0,2.42,0.81,0,0,0.81,1.61,0,0,0.81,0.81,7.25,0,0.81,0.81,0,5.64,0,0,4.03,0,0,0
 48-58,0,0,0,0,0,1.72,0,0.57,0,0,0,0,0,0.57,1.72,4.02,0,6.89,0.57,0.57,0,0,13.2,0,0,0.57,0,0,0
 60-70,0,0,0.98,0,0,2.94,0,1.96,0,0,0.98,1.96,1.96,0,0.98,1.96,0,9.82,0,2.94,0,0,11.78,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,5.89,0.98,1.96,0.98,0,0.98,0.98,9.82,0.98,2.94,3.93,0,12.76,0,5.89,0,0,14.72,0,0,0.98,0,0,1.96
 84-94,0,0,2.12,0,8.5,7.43,0,2.12,3.19,0,0,1.06,5.31,4.25,1.06,8.5,0,7.43,0,2.12,3.19,0,18.05,0,0,0,1.06,0,0
 96-106,0,1.09,1.09,0,13.11,4.37,0,2.19,2.19,0,1.09,0,8.74,2.19,3.28,3.28,0,8.74,0,1.09,0,0,32.79,0,0,0,2.19,1.09,0
108-118,0,0,5.36,1.53,30.64,2.3,0,3.83,3.06,0,3.06,0.77,5.36,8.43,0,2.3,0,10.72,0,3.06,0.77,0,19.92,0,0,0,0.77,0,0
120,0,0,5.88,0,7.84,1.96,1.96,0,1.96,0,7.84,0,1.96,1.96,0,1.96,0,1.96,0,5.88,0,0,25.48,0,0,0,0,0,0
