stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.41,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545.54,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,2.63,0,0,7.89,99.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,72.38,6.29,0,0,28.32,53.5,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,34,0,3,0,0,1,6,0,0,12,0,0,10,0,732,1,0,3,3,4,0,0,1,0,0
 24-34,0,0,0.82,0,13.95,0.82,0,9.03,0,4.1,0,1.64,0,0,0,0,43.51,0,40.22,0.82,0,4.1,21.34,0,1.64,64.85,0.82,27.09,17.24,0,1388.89,0,0,2.46,0,10.67,0,0,2.46,0,0.82
 36-46,0,0,0,0,9.67,0,0,8.06,0.81,6.45,0,1.61,0,0,1.61,0,16.92,0,30.62,0,0,4.03,20.95,0,1.61,75.73,0.81,29,19.34,0,1517.08,0,0,0.81,0,13.7,0,0,3.22,0,0
 48-58,0,0,0,0,10.33,0,0,18.36,0,12.05,1.15,6.31,0.57,0,0.57,0.57,8.61,0,24.1,0,0,10.9,13.77,0.57,2.3,62.54,1.15,14.35,13.77,0,1215.89,0,0,0,0,12.05,0,0,0,0,0.57
 60-70,0,0,0,0.98,15.7,0,0,9.82,0,7.85,0,1.96,0,0.98,0,0.98,14.72,0.98,35.33,0,0,0.98,7.85,1.96,0.98,33.37,0,19.63,14.72,0,838.22,0,0,0,0,0.98,1.96,0,0,0,1.96
 72-82,0,0,0,1.96,37.3,0.98,0,12.76,0,6.87,0.98,4.91,2.94,0,0,0,41.23,1.96,55.95,0,0,3.93,17.67,0,0.98,24.54,0,33.38,39.27,0,719.56,0,0,0,0,1.96,10.8,0,2.94,0,0.98
 84-94,0,0,1.06,2.12,104.08,3.19,0,8.5,1.06,24.43,1.06,1.06,6.37,0,0,0,69.03,0,104.08,0,0,9.56,16.99,0,2.12,13.81,0,48.85,35.05,0,2141.07,0,0,0,0,5.31,55.23,0,1.06,1.06,0
 96-106,0,0,0,2.19,209.83,1.09,1.09,27.32,0,33.88,0,9.84,19.67,0,0,3.28,118.03,1.09,151.91,2.19,0,12.02,32.79,1.09,0,48.09,1.09,91.8,57.92,0,1966.03,0,0,0,0,1.09,98.36,1.09,1.09,2.19,1.09
108-118,0,0,0.77,9.19,187.66,1.53,0.77,9.96,0,43.66,2.3,5.36,18.38,0,0,0,99.58,0,103.41,3.06,0.77,13.02,36.77,0.77,2.3,39.83,0,51.32,58.21,0,1774.74,0,0,0,0,0.77,121.79,0,0,0.77,1.53
120,0,0,0,1.96,117.59,0,0,0,0,27.44,1.96,0,7.84,0,0,0,43.12,0,64.67,0,0,7.84,17.64,0,1.96,47.03,0,27.44,39.2,0,691.8,0,0,0,0,0,33.32,0,0,0,1.96
