stage,endocrine.pancreas,erythrocytes,eye,glial,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,7,0,0,0,0,2,0,3,4,0,1,0,0,0,0,1,0
 24-34,0.82,0.82,0.82,0,0,0,9.03,0,7.39,7.39,4.1,0,0,0.82,2.46,0,5.75,0
 36-46,0,0,3.22,2.42,0,0,4.03,0,3.22,4.83,0,0,0,0,2.42,0,7.25,0
 48-58,0,0,1.72,0,0,0,5.16,0,2.3,11.48,0.57,0,0,0,1.72,0,2.3,0.57
 60-70,0,0,1.96,1.96,0,0,2.94,0,0.98,26.5,0.98,0,0.98,0,0,0.98,3.93,0
 72-82,0.98,2.94,4.91,3.93,0,0.98,4.91,0.98,2.94,19.63,0.98,0,0,0,0,0,3.93,0
 84-94,0,1.06,1.06,1.06,1.06,0,2.12,0,1.06,15.93,1.06,0,0,0,2.12,0,2.12,0
 96-106,0,1.09,2.19,1.09,1.09,0,2.19,1.09,1.09,10.93,0,0,2.19,0,0,0,5.46,0
108-118,0,1.53,0,1.53,0,0,3.06,0,1.53,8.43,0,0,1.53,0,0,0,1.53,0
120,0,3.92,1.96,0,0,1.96,1.96,0,3.92,9.8,0,0,0,0,0,0,5.88,0
