stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,4.93,0,0.82,0,0,0,0.82,0,0
 36-46,0,0,0.81,0,2.42,0,0,0,0,0,0,0.81,0,0,2.42,0,0,0,0,0,2.42,0.81,0
 48-58,0,0,0,0,1.15,0.57,0,0,0,0,0.57,2.3,0.57,0,5.74,0.57,0,0,0,0,3.44,0,0
 60-70,0,0,0,0,3.93,0.98,0,0.98,0.98,0,0,0,0.98,0,13.74,0,0,0,0,0,2.94,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,0,0.98,0,0.98,0,0,18.65,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,1.06,1.06,0,1.06,0,0,0,0,0,0,7.43,1.06,0,0,0,0,0,0,0
 96-106,0,1.09,2.19,0,1.09,0,0,0,0,0,0,0,0,0,5.46,0,0,0,1.09,0,0,1.09,0
108-118,0,0.77,0,0,1.53,0.77,0.77,0,0.77,0,0,3.06,0,0.77,5.36,0.77,0,0,0.77,0.77,0,0,0.77
120,0,0,1.96,0,5.88,1.96,0,1.96,0,0,0,3.92,0,0,7.84,0,1.96,0,0,0,0,1.96,0
