stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,29,0,0,0,0,0
 24-34,0,0,0.82,1.64,0,2.46,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,0,189.62,0.82,0,0,0,0.82,0.82,0,0.82,103.43,0,0,0.82,0,0
 36-46,0,0,0,0,0,8.86,0,0,0.81,0,0,0,0,0,0,0,4.03,0,0,0.81,480.18,0,0,0,0,0,0,0,0,174.02,0,0,0.81,0,0
 48-58,0,0,0.57,1.15,0,41.89,0.57,0.57,2.3,0,0,0,0,0,0,0,5.74,0,0,1.15,682.25,0,1.72,0,0,0.57,0,0,0,144.03,0,0,0.57,0,1.15
 60-70,0,0,0.98,0.98,0.98,108.95,0.98,0,7.85,0,0,0,0.98,0,0.98,0,4.91,0,0,1.96,1225.92,0,0,0,0,0.98,0,0,0,165.88,0,0,1.96,0,0.98
 72-82,0,0,0,7.85,1.96,160.01,0.98,0.98,21.6,0,0,0,0,0,1.96,0,10.8,0,0,0,1218.24,0,0,0,0.98,0,0,0,0,93.26,0,0,0.98,0,0.98
 84-94,0,0,0,6.37,1.06,118.95,0,0,12.74,1.06,0,1.06,0,3.19,1.06,0,9.56,2.12,1.06,3.19,608.55,0,1.06,0,0,1.06,1.06,0,0,59.47,1.06,2.12,3.19,2.12,0
 96-106,0,0,0,7.65,2.19,76.5,0,1.09,14.21,0,0,0,0,2.19,1.09,1.09,6.56,0,0,1.09,476.48,3.28,0,0,0,1.09,0,1.09,0,22.95,1.09,1.09,0,1.09,0
108-118,0,0,0.77,5.36,2.3,88.09,0,0,6.13,1.53,0,0,0.77,0,0,0,6.13,0,0,1.53,471.07,0,1.53,0,0,0,0,0.77,0,22.98,1.53,0,0.77,0.77,0
120,0,0,0,7.84,0,88.19,0,0,13.72,1.96,0,0,1.96,0,0,3.92,11.76,0,1.96,0,654.57,0,0,0,0,1.96,0,0,0,23.52,0,0,3.92,0,0
