stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,7.89,0,0,2.63,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,3.28,0,13.13,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,6.45,0.81,6.45,0,0.81,0.81,0
 48-58,0,0,0,1.15,0.57,0,0,3.44,0.57,3.44,0,12.62,0,0,1.15,0.57
 60-70,0,0,0,0.98,0,0,0,9.82,0.98,10.8,0,26.5,0,0,0.98,0
 72-82,0,0,0,7.85,0,0,0,18.65,0.98,12.76,0,51.05,0,0,0,0
 84-94,0,0,0,3.19,0,1.06,1.06,19.12,0,6.37,0,72.22,0,0,1.06,0
 96-106,0,0,2.19,5.46,0,1.09,0,33.88,1.09,5.46,0,78.68,0,0,0,1.09
108-118,0,0,0,5.36,0,3.06,0,14.55,2.3,6.13,0,54.38,0,0.77,0,0
120,0,3.92,0,7.84,0,1.96,0,21.56,0,15.68,0,68.59,0,0,0,0
