stage,blastomeres,epidermis,exocrine.pancreas,eye,glial,lateral.line,mesenchyme,neural,otic,paraxial.mesoderm,spinal.cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,1.15,0,0,0,0
 60-70,0,0,0,8.83,6.87,0,0,0.98,0.98,0,0,0
 72-82,0,0.98,0,24.54,38.28,0.98,4.91,3.93,0,0,0,0.98
 84-94,0,0,0,15.93,33.99,0,7.43,2.12,0,0,0,0
 96-106,0,1.09,0,26.23,36.06,0,3.28,3.28,0,0,1.09,0
108-118,0,0,0.77,16.85,51.32,0.77,3.83,5.36,0.77,0,0,0
120,0,0,0,21.56,48.99,1.96,3.92,1.96,0,0,0,0
