stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,1,10,1,0,10,0,0,2,2,0,0,1,0,1,9,0,3,77,1,0,2,1,0,6,0,1,8,24,0,0,0,0
 24-34,0.82,2.46,0,0,5.75,0,0,0.82,0,0.82,0,0,0,0,9.85,0,4.93,83.73,0,0,1.64,0,1.64,0,0,0,2.46,20.52,0,0,2.46,0
 36-46,0,3.22,0,0,6.45,0,0,3.22,0,0.81,0,0,0,0.81,8.06,0,0.81,73.32,0,0.81,1.61,0,1.61,0,0.81,0,0,19.34,0,0,0,0
 48-58,0,1.15,0,0,8.61,0.57,0.57,2.87,0,0,0,0,0,0,2.87,0,0.57,38.44,0,0,1.15,0,0,0,0,0.57,0,6.89,0,0,1.72,0
 60-70,0,0.98,0,0,6.87,0,0,0.98,0,0,0,0,0,0,2.94,0,0.98,11.78,0,0,0,0,0,0,0,0,0,4.91,0,0,0.98,0
 72-82,0,0,4.91,0,11.78,0,0,6.87,0,0,0,0.98,1.96,0,4.91,0.98,0,36.32,0,0,0,0,1.96,0,0.98,0,0,4.91,0,0,0.98,0
 84-94,0,1.06,0,1.06,6.37,0,0,2.12,1.06,0,1.06,0,1.06,0,4.25,0,0,5.31,0,0,2.12,0,3.19,0,0,0,0,0,0,0,0,1.06
 96-106,0,3.28,1.09,0,3.28,0,0,2.19,0,0,0,0,0,0,2.19,0,0,8.74,0,0,2.19,0,4.37,0,0,0,0,2.19,1.09,0,0,0
108-118,0,3.83,0.77,0,3.83,0,0,1.53,2.3,0,0,0,0.77,0,0.77,0,1.53,10.72,0,0.77,0.77,0,2.3,0,0.77,0,0,0,0.77,0.77,0,0
120,0,3.92,0,0,5.88,0,0,1.96,1.96,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
