stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,76.23,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,17,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,12,0,4,138,1,1,0,3,0,0,10,0,0,10,40,0,0,1,0
 24-34,0.82,0,0.82,1.64,1.64,0,0,22.98,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,5.75,0,2.46,113.28,0.82,0,0,0,0,3.28,0,0,0.82,3.28,24.63,0,0,4.1,0
 36-46,0,0,0,0,1.61,0,0,23.36,0,0,0.81,1.61,0,0,0,0.81,0,0,0,0,0,13.7,0,6.45,75.73,0.81,0.81,0,0,0,1.61,0,0,0,0,20.14,0,0,0,0
 48-58,0,0,0,0,0,0,0,31.56,1.15,0,1.72,6.89,0,0,0,0,0,0,0.57,0.57,0,14.92,0.57,4.02,63.69,0.57,0,0,0,0,0.57,0,0.57,0,0,13.2,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,31.41,0,0,0,5.89,0,0,0,0,0,0,0,0,0.98,9.82,0,2.94,36.32,0,0,0,0,0,1.96,0,0,0,0,3.93,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,0,20.61,0,0,0.98,8.83,1.96,0,0,0.98,0,0,0.98,0,0.98,14.72,0.98,1.96,51.05,0,0.98,0,0,0,0,0,0,0,0,7.85,0,0,2.94,0
 84-94,0,0,1.06,0,1.06,0,0,11.68,0,0,1.06,4.25,1.06,0,1.06,0,0,0,0,0,0,11.68,1.06,2.12,12.74,0,1.06,1.06,0,0,2.12,0,0,0,0,2.12,0,0,1.06,0
 96-106,0,0,0,0,1.09,1.09,1.09,8.74,0,0,0,5.46,2.19,0,0,0,0,0,0,0,1.09,9.84,0,1.09,25.14,0,0,1.09,0,0,6.56,0,0,0,0,1.09,0,1.09,0,1.09
108-118,0,0,0,0,1.53,0,0,15.32,0,0.77,0,3.83,2.3,0,0,1.53,0.77,0.77,0,0,0,10.72,0,3.06,26.04,0,0,1.53,0,0.77,1.53,0,0,0,0,1.53,0.77,0.77,1.53,0
120,0,0,0,0,9.8,0,0,7.84,0,0,0,5.88,0,0,0,0,1.96,0,0,0,0,5.88,0,0,11.76,0,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0
