stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,122.59,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,3,0,0,31,1,0,0,0,0,1,4,8,0,0,0
 24-34,0,0,0,1.64,0,5.75,0,2.46,0.82,0,0,0,0,0.82,0.82,2.46,0,0.82,203.57,0,0,0.82,0,1.64,0,0,38.58,0,0,0
 36-46,0,0,0,0.81,0,1.61,0.81,5.64,0,0,0,0.81,0,0,0,3.22,0,0,71.7,0,0.81,0,0,0,0,0,16.92,0,0,0
 48-58,0,0,0.57,0.57,0,6.89,0,7.46,0,0.57,0,0,0.57,0,0,2.3,0.57,0,33.28,0,0,0,0,1.72,0,0,8.03,0,0,1.15
 60-70,0,0,0,0.98,0,10.8,0,2.94,0,0,0,0.98,0.98,0,0,0,0,0,34.35,0,0,0,0,0.98,0,0,4.91,0,0,0
 72-82,0,0,0,0,0,4.91,0,4.91,1.96,0,0,0,0,0,0,8.83,0.98,0,25.52,0,0,0.98,0,0,0,0,1.96,0,0.98,0
 84-94,0,1.06,0,2.12,0,3.19,0,2.12,2.12,0,2.12,3.19,1.06,0,0,1.06,0,2.12,4.25,1.06,0,1.06,0,3.19,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,3.28,0,2.19,0,0,1.09,0,1.09,4.37,1.09,4.37,0,0,8.74,0,0,2.19,0,2.19,0,0,0,1.09,1.09,0
108-118,0,0,0,3.83,0.77,5.36,0,3.83,1.53,0,0.77,0.77,3.06,1.53,0.77,6.13,0,0,7.66,0.77,0.77,0,0,6.89,0,0,0,0,0.77,0
120,0,0,0,5.88,0,3.92,0,0,0,0,0,0,0,1.96,0,1.96,0,0,17.64,0,0,0,0,5.88,0,0,0,0,0,0
