stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,316.27,4414.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0
  5-6,612.96,4805.63,18.39,0,0,0,0,30.65,0,0,0,0,373.91,49.04,0,110.33,18.39,0,0,0,0
  7-9,202.41,162.98,523.11,0,5.26,110.41,0,178.75,0,0,0,0,3138.68,262.87,0,3404.18,2.63,0,0,0,0
 10-12,0,88.12,129.03,0,3.15,50.35,0,9.44,0,0,0,0,1394.11,59.79,0,1863.01,0,0,94.41,6.29,3.15
 14-21,0,0,1,7,2,0,0,0,2,1,0,5,29,0,1,3,0,44,0,27,11
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,9.85,0,0,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,2.42,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
