stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,7,0,0,1,2,0,9,0,2,4,0,0,0
 24-34,0,0,0.82,0.82,0.82,0,0,0,0,0.82,0.82,0,0,0,0,4.1,0,0,2.46,68.95,2.46,0,0,0,0,0.82,0,5.75,59.1,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,8.06,0,0,0.81,73.32,1.61,0.81,0,0,0,0,0.81,0,41.09,0,0,0
 48-58,0,0,0,0,2.3,0,0.57,1.72,0,0.57,0.57,0,0,0.57,0,11.48,0,0,0,85.5,0.57,0,0.57,0,0,0,0,0,20.66,0,0,0
 60-70,0,0,0,0,4.91,0,0.98,7.85,0,0,0,0,0,0,2.94,15.7,0,0,0.98,113.86,0,0,0.98,0,0.98,0,0,0,17.67,0,0,0.98
 72-82,0,0.98,0,0,12.76,0,0.98,34.36,0.98,0.98,0,0,0.98,0,0,14.72,0,0.98,0,170.81,0,0,0.98,0,0,0,0,0,4.91,0,0,0.98
 84-94,0,1.06,0,1.06,14.87,0,0,22.3,0,0,0,0,0,0,1.06,8.5,0,0,0,78.59,0,1.06,3.19,0,0,0,0,0,9.56,0,0,0
 96-106,0,3.28,0,2.19,17.49,0,0,21.86,1.09,0,0,1.09,1.09,0,0,7.65,1.09,0,2.19,93.98,0,0,1.09,0,0,0,0,0,3.28,1.09,0,0
108-118,0,0,0,1.53,14.55,0.77,0,29.11,1.53,0,0,0.77,0,0,0.77,6.13,0,0,0,106.47,0,0,0.77,0,0,0,0,0,2.3,0,0,0
120,0,3.92,0,5.88,9.8,1.96,0,13.72,0,0,0,0,0,0,0,5.88,0,0,0,121.51,0,0,1.96,0,0,0,0,0,3.92,0,1.96,0
