stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,18.4,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,6,0,0,3,33,1,0,0,2,1,5,0,3,13,1
 24-34,0,0,0.82,1.64,4.93,0.82,23.8,0,2.46,0,0,0.82,0,0,0,1.64,15.6,0,0,5.75,187.98,0.82,2.46,2.46,0,4.1,0,0.82,0.82,44.33,4.1
 36-46,0,0,0,0,0,0,33.03,0,4.03,0,0,0,0,0,0,0,12.09,0.81,1.61,2.42,134.55,0,0,0,0,1.61,0,0,0,30.62,1.61
 48-58,0,0,0,0,1.15,1.15,45.33,0.57,6.31,0,0,0.57,0,0,0,0,9.75,0.57,0,2.87,90.66,0,0.57,1.15,0,1.15,0,0,0,14.92,0.57
 60-70,0,0,0,0,1.96,0,37.3,0,4.91,0,0,0,0,0,0.98,0,8.83,0,1.96,0.98,63.8,0,0,0,0,0,0,0,0,5.89,0
 72-82,0,0,0,0,1.96,2.94,17.67,0.98,2.94,0,0,0,0,0,0,0,4.91,0,0,0,22.58,0,0.98,0,0,0,0,0,0,1.96,1.96
 84-94,0,0,0,0,2.12,1.06,13.81,0,2.12,1.06,0,0,0,1.06,0,0,4.25,0,0,0,15.93,0,0,1.06,0,0,0,0,0,4.25,1.06
 96-106,0,0,0,0,1.09,1.09,10.93,0,2.19,0,0,0,0,0,0,0,7.65,0,2.19,2.19,16.39,0,1.09,2.19,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0.77,1.53,2.3,13.02,0,2.3,0,0,0,1.53,0,0,0,6.89,0,0,0,14.55,0,0,1.53,0,1.53,0,0,0,0,0
120,0,0,0,0,1.96,0,9.8,0,1.96,0,0,0,0,0,0,0,5.88,0,0,3.92,17.64,0,0,0,0,0,0,0,0,0,1.96
