stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,1,0,1,0,0,0,0,0,26,0,0,0,0,0,0,19,0,0,13,38,2,0,0,0,0,1,1,0,370,321,7,0,0,0,0,0
 24-34,0,4.1,0.82,13.95,223.27,0.82,0.82,0.82,0,18.06,1.64,2.46,0,0,1.64,0,9.85,0,0.82,42.68,119.02,5.75,0.82,2.46,0,0,8.21,1.64,0.82,237.23,302.9,29.55,0,0,7.39,0,0
 36-46,0,2.42,0,20.14,443.12,0,0,1.61,1.61,14.5,0.81,0,0,1.61,0,0,11.28,0,0,31.42,78.96,3.22,0,0,0.81,0,1.61,0.81,0,190.14,22.56,29,0,0.81,0.81,0,1.61
 48-58,0,3.44,0,61.4,425.19,0,0,6.89,1.15,4.59,0,0,0,0,0,0,17.21,0.57,0.57,33.28,125.09,2.3,0,1.15,0.57,0,3.44,0,0,148.04,0,37.3,0,1.15,2.3,0,3.44
 60-70,0,2.94,0,38.28,318.99,0.98,0,13.74,0,4.91,0.98,0,0,0,0,0,10.8,0,0.98,38.28,81.47,3.93,0,0.98,0.98,0,7.85,0,0,91.28,0,15.7,0,0.98,0,0,1.96
 72-82,0.98,3.93,2.94,39.27,228.73,0.98,1.96,8.83,0,3.93,0.98,0.98,0.98,2.94,0.98,0,25.52,0,0.98,39.27,61.84,1.96,0.98,0.98,0.98,0,13.74,0,0,57.92,0,9.82,0,0,1.96,0.98,5.89
 84-94,1.06,4.25,9.56,41.42,385.52,1.06,1.06,4.25,1.06,5.31,1.06,0,1.06,0,0,2.12,19.12,0,0,32.92,48.85,1.06,2.12,2.12,0,0,47.79,0,0,97.71,0,10.62,1.06,1.06,5.31,3.19,0
 96-106,3.28,5.46,7.65,41.53,533.31,0,1.09,7.65,0,8.74,1.09,0,2.19,2.19,0,1.09,38.25,2.19,3.28,34.97,66.66,1.09,0,5.46,0,1.09,38.25,0,1.09,95.08,0,4.37,2.19,1.09,6.56,5.46,4.37
108-118,0.77,6.13,1.53,26.04,346.22,2.3,0.77,6.89,2.3,6.89,0.77,0.77,1.53,2.3,2.3,0,18.38,1.53,3.83,37.53,39.83,0.77,0,2.3,0,1.53,38.3,0,0,82.72,0,3.06,0,0,1.53,4.6,1.53
120,0,5.88,0,19.6,192.06,0,1.96,7.84,0,1.96,1.96,0,0,0,0,0,15.68,0,1.96,39.2,35.28,0,0,1.96,0,5.88,41.16,1.96,0,23.52,0,0,0,1.96,0,3.92,0
