stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,gut,heart,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,periderm,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0
 24-34,0,1.64,0,0,0,0,0,0.82,0.82,0,3.28,0.82,0,0,0.82,0,9.03,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0.81,2.42,0,0,0.81,4.03,0,7.25,0,0,0
 48-58,0,0.57,0,0.57,0,0.57,0,0,0,0,4.02,0,0.57,0,0.57,0,5.16,0,0,0.57
 60-70,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0.98,0.98,10.8,0,0,0
 72-82,0,2.94,0,0,0,0,0.98,0,0,0,0.98,0.98,0,0,0.98,0,15.71,0,0,0
 84-94,0,10.62,1.06,0,0,0,6.37,0,0,0,0,1.06,0,0,3.19,1.06,45.67,0,0,0
 96-106,0,17.49,0,0,0,0,4.37,0,3.28,0,1.09,0,0,0,1.09,1.09,41.53,0,0,0
108-118,0,21.45,0,0.77,2.3,0,5.36,0,3.06,0,0,0.77,0,0,2.3,0,62.81,0,0.77,0
120,0,7.84,1.96,0,3.92,0,1.96,0,7.84,0,0,1.96,0,0,0,0,64.67,1.96,0,0
