stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,gut,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 14-21,1,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,1,3,0,0,0
 24-34,0,0,2.46,0.82,0,0,0.82,0,0,0,1.64,8.21,0,0,0,0,0.82,2.46,0,0,0
 36-46,0,0,1.61,0.81,0,0,0,0,0.81,0.81,0.81,18.53,0,0.81,0,0,0,2.42,0,0,0
 48-58,0,0,0,2.3,0.57,0.57,0,0.57,0,0.57,0,15.49,0,0,0,0,0,1.15,0,0,0
 60-70,0,0,1.96,0.98,0,0.98,0,0,0,1.96,0,42.21,0,0,0.98,0,0,3.93,0,0,0
 72-82,0,0,0,0.98,0,1.96,0,0,0,1.96,0.98,43.19,0,0,0.98,0.98,0,1.96,0,0,0
 84-94,0,0,1.06,6.37,1.06,2.12,0,0,0,2.12,0,21.24,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,0,1.09,2.19,0,3.28,0,0,0,0,0,18.58,0,1.09,0,2.19,0,0,0,0,0
108-118,0,0,6.13,1.53,0,1.53,0,0,0,0,0.77,42.13,0,0,2.3,0,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,0,25.48,0,0,0,0,0,0,0,0,1.96
