stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,2,2,0,195,7,0,0,0,0,0,0
 24-34,0,0.82,0.82,2.46,107.53,0,0,0,0,0.82,0,0,0,0,0,4.93,0,0,22.98,31.19,0,1.64,0.82,0,0,2.46,0,0.82,138.72,23.8,8.21,0,0,0.82,0,0
 36-46,0,1.61,0,8.86,159.52,0,0,1.61,0,0,0,0,0,0,0,1.61,0,0,8.86,32.23,0.81,0.81,0,0,0,0,0,0,126.49,4.03,5.64,0,0,2.42,0,0
 48-58,0,1.15,0,16.64,140.58,0,0.57,1.72,0,0.57,0,0,0.57,0,0,7.46,0.57,0,7.46,39.02,0,0,0,0,0,0,0,0,86.07,0,10.33,0,0,0.57,0,1.15
 60-70,0,0,0,14.72,130.54,0,0,0.98,0,0.98,0,0,0,0,0,8.83,0,0,9.82,27.48,0,0,0,0.98,0,3.93,0,0,46.13,0,8.83,0,0,0,0,0
 72-82,0,1.96,0,17.67,137.43,1.96,0,4.91,0,0,0,0.98,0,0,0,13.74,0,0,10.8,28.47,0,0,0,0,0,1.96,0,0,39.27,0,7.85,0,0,2.94,0,0
 84-94,0,5.31,6.37,19.12,183.73,1.06,0,0,0,0,1.06,0,0,1.06,0,5.31,0,0,9.56,19.12,0,0,0,0,0,6.37,0,0,65.85,0,3.19,1.06,0,2.12,0,2.12
 96-106,1.09,7.65,9.84,20.76,311.46,3.28,0,6.56,1.09,2.19,1.09,0,0,2.19,1.09,15.3,2.19,0,15.3,29.51,2.19,2.19,2.19,1.09,0,5.46,0,0,75.41,0,4.37,0,3.28,2.19,1.09,2.19
108-118,0,3.06,2.3,14.55,232.09,0,0,3.06,0,0.77,0,0,0,0,0,12.26,0,0,23.74,26.04,0,0,0,0,0.77,1.53,0,0,65.11,0,0.77,0.77,0,3.06,0,0
120,0,3.92,5.88,7.84,125.43,0,0,7.84,1.96,1.96,1.96,0,0,0,0,11.76,0,1.96,5.88,33.32,0,0,0,0,0,1.96,1.96,0,25.48,0,0,0,0,1.96,0,0
