stage,epidermis,eye,fast.muscle,glial,gut,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,2,1,0,0,0,0,0,2,0,2,6,2,0,0,1,0,2,0,2,3,0
 24-34,0.82,2.46,0,0,0,0,0,1.64,0,0,11.49,0,0.82,1.64,0,4.1,0,0,0,4.93,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,0,4.03,0,0,0,0,3.22,0,0,0,1.61,0
 48-58,0,3.44,0,0,0,0,0,0.57,0,0,6.89,0,0,0.57,0,1.72,0,0,0,1.72,0
 60-70,0.98,2.94,0,0,0,0,0.98,2.94,0,0,4.91,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,1.96,0,1.96,0,0.98,0,3.93,0.98,0,10.8,1.96,0,0,0,1.96,0,1.96,0,0,0.98
 84-94,1.06,2.12,0,1.06,2.12,0,0,1.06,0,0,4.25,0,0,0,0,2.12,0,1.06,0,0,0
 96-106,3.28,2.19,0,3.28,0,0,0,3.28,0,0,1.09,1.09,0,0,0,2.19,0,0,0,0,1.09
108-118,2.3,1.53,0.77,4.6,0,0,0,2.3,0,0,5.36,2.3,0,0.77,0,0,0,2.3,0,0,0
120,1.96,0,1.96,1.96,1.96,0,0,3.92,0,0,5.88,5.88,0,0,0,1.96,0,3.92,0,0,0
