stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,0,0,15.73,0,0,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,6,0,0,0,0,0,31,3,3,2,8,0,0
 24-34,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0.82,1.64,0,0,0,4.93,0,2.46,10.67,0,0,0,0,0,14.78,0,0,1.64,9.03,0,0
 36-46,0,0,0,0,0,0,0,0.81,0.81,0.81,0,0.81,1.61,0,0,0,20.14,0,6.45,29,0,0.81,0,0,0,5.64,0,0,0,15.31,0.81,0
 48-58,0,0,0,0.57,0,0,2.3,0.57,0,2.3,0,0,0.57,0,0,0,14.35,0,2.3,17.21,0,0.57,0,0,0,1.72,0,0,0,6.31,0.57,0
 60-70,0,0,0,0,0,0,14.72,0,0,4.91,0,0,0.98,0,0,0,26.5,0,1.96,52.02,0,0,0,0,0,0,0,0,0,7.85,0.98,0.98
 72-82,0,0,0,1.96,0,0,22.58,0,0.98,4.91,0,0,0,0,0,0,24.54,0,2.94,56.94,0,2.94,0,0,0,0,0,0,0,4.91,1.96,0
 84-94,0,0,0,0,0,0,13.81,0,3.19,6.37,0,0,2.12,0,0,0,21.24,0,3.19,25.49,0,1.06,0,0,0,0,0,0,0,2.12,1.06,1.06
 96-106,0,0,0,0,0,0,19.67,0,2.19,5.46,1.09,0,0,1.09,2.19,0,25.14,1.09,2.19,30.6,0,3.28,2.19,0,0,1.09,0,0,0,2.19,0,1.09
108-118,0,0,0,0.77,0,1.53,14.55,0,0.77,9.96,0,0,0.77,0,9.19,0,16.09,0,0,32.17,0,0,0.77,0,0,0,0,0,0,0,3.83,1.53
120,0,0,0,1.96,1.96,0,17.64,0,0,3.92,0,0,0,0,13.72,1.96,11.76,0,0,33.32,0,3.92,0,0,1.96,0,0,0,0,1.96,0,3.92
