stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,mesenchyme,neural,notochord,olfactory,periderm,slow.muscle,spinal.cord,taste
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,1.64,0,0,0,0.82,0,0.82,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0.57,0,0,0,1.15,0.57,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0.98,0,0.98,0
 72-82,0,0,0,0.98,0,0.98,0,0,1.96,0,1.96,0.98,2.94,0,0,0.98,0,0,0.98
 84-94,0,0,1.06,3.19,1.06,0,0,0,1.06,0,0,0,0,0,0,6.37,0,0,0
 96-106,0,0,2.19,1.09,1.09,1.09,0,0,3.28,1.09,0,1.09,2.19,0,0,6.56,1.09,0,0
108-118,0,0,0,0,0,1.53,0,0,0.77,0,0.77,0,3.06,0,0,2.3,0,0,0
120,0,0,0,0,0,0,1.96,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0
