stage,epidermis,eye,fin.mesenchyme,glial,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pronephros,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,4.1,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,8.86,0,0,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,1.72,0,3.44,0.57,0,0,0,1.72,0,0.57
 60-70,0,0.98,0,0,0,5.89,0.98,2.94,0.98,0,0,0.98,1.96,0,0
 72-82,0,0.98,0,0.98,0,26.5,0,2.94,0,0,0,0,0.98,0,0
 84-94,2.12,0,0,0,0,26.55,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,13.11,0,2.19,0,0,0,1.09,0,0,0
108-118,0,0.77,0,0,0.77,14.55,0,0,0,0.77,0.77,0,0,0.77,0
120,0,1.96,0,0,0,7.84,0,0,0,0,0,0,0,0,0
