stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,2.46,5.75,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0.81,0.81,8.06,0,0.81,0,0,0
 48-58,0,0,0.57,0,0,1.15,0.57,0,0.57,0,0.57,0,0,0,0.57,0,0,4.02,0,1.15,5.16,3.44,0,1.72,0,0,0
 60-70,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,10.8,0,3.93,4.91,8.83,0.98,0.98,0,0,0
 72-82,0,0,0.98,0,0,0.98,0,0.98,0.98,0.98,1.96,0,0,0,3.93,0,0.98,5.89,0,3.93,33.38,10.8,0,0,0,0,0.98
 84-94,0,0,3.19,0,0,0,0,0,1.06,1.06,0,0,0,0,3.19,1.06,0,0,0,4.25,28.68,24.43,0,0,2.12,0,0
 96-106,0,0,17.49,1.09,0,1.09,1.09,1.09,0,0,1.09,1.09,1.09,0,3.28,0,0,6.56,0,5.46,49.18,19.67,0,0,0,1.09,0
108-118,0,0,5.36,0,0.77,1.53,0,1.53,0,0,0,0,0,0.77,2.3,0,0,1.53,0.77,5.36,45.19,13.79,0,0,0,0,0
120,1.96,0,11.76,0,0,5.88,0,0,0,0,0,0,1.96,0,3.92,0,0,3.92,0,5.88,41.16,17.64,0,0,0,0,0
