stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,5.26,0,0,36.8,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,78.67,0,0,37.76,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,5,0,0,3,5,222,0,0,0,0,6,1,0,0,0,0
 24-34,0,0,0,1.64,0,13.13,0,0,0,1.64,0,0,0,0,6.57,0,0,3.28,67.31,20.52,0,0,0,0,0.82,1.64,0,0,0,0
 36-46,0,0,0.81,0,0,19.34,0,0,0,15.31,0,0,0,0,22.56,0,0,13.7,140.99,2.42,1.61,0,0,0,0,11.28,0,0.81,0,0
 48-58,0,0,0,0,0,33.85,0,0,0,30.99,0,0,0,0,71.15,0,0,29.84,146.89,0,0,0.57,0,0,0,15.49,0,0,0.57,0
 60-70,0,0,0,0,0,44.17,0,0,0,49.08,0,0,0,0.98,101.1,0,0,33.37,135.45,0,0,0,0,0,0,7.85,0,4.91,0,0
 72-82,0,0,3.93,0,0,55.95,0,0,3.93,64.79,0,0,0.98,1.96,185.53,0,0,65.77,128.6,0,0,0,0,0,0,13.74,0,3.93,1.96,3.93
 84-94,0,0,1.06,0,0,54.16,0,0,3.19,71.16,0,0,2.12,0,137,0,2.12,47.79,122.13,0,0,0,0,0,0,3.19,0,2.12,0,2.12
 96-106,0,0,4.37,1.09,0,43.71,1.09,1.09,0,62.29,1.09,1.09,0,1.09,149.72,0,7.65,33.88,122.4,0,1.09,0,0,0,0,2.19,0,2.19,2.19,1.09
108-118,0,0,3.83,0,0.77,49.02,0,0,4.6,51.32,0.77,0,0,0,170.81,0.77,6.13,24.51,140.94,0,1.53,0.77,0,0,0,0.77,0.77,1.53,0,0
120,1.96,0,11.76,0,0,33.32,1.96,0,0,54.87,1.96,0,0,0,164.62,0,1.96,33.32,145.02,0,1.96,0,1.96,3.92,0,1.96,0,1.96,0,0
