stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,263.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,15.77,0,10.51,0,0,0,49.95,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,328.59,13.14,0,0,118.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,0,28.32,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,236.02,9.44,0,0,107,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,1,0,0,1,62,10,0,14,0,0,8,3,1,1,0,3,0,1,2,23,0,7,113,2,2,12,10,0,2,45,7,25,66,0,0,0,0,1
 24-34,0,0,0,0.82,11.49,0.82,0,9.85,0.82,0,8.21,0,0,0,0,0,0.82,1.64,0.82,13.13,0,6.57,50.07,0,0,6.57,0,0,4.93,0,1.64,6.57,13.13,0,0,0.82,0,0
 36-46,0,0,0,0,8.06,0,0,5.64,0.81,0,0.81,0,0,0,0,0,0,1.61,0,7.25,0,1.61,9.67,0,1.61,3.22,0,0,1.61,0,4.03,0,8.06,0,0,0.81,0,0
 48-58,0,0,0,0,2.87,0,0,9.75,1.15,0,0.57,0,0,0,0,0,0,2.3,0.57,6.89,0.57,2.3,4.59,0,1.72,1.15,0,0,0.57,0,0,0,4.02,0,0,1.15,0,0
 60-70,0,0,0,0,11.78,0,0,6.87,0,0,1.96,1.96,0,0,0,0,0,0,0.98,7.85,0,0,6.87,0,2.94,2.94,0,0,3.93,0,0.98,0,0.98,0,1.96,0,0,0.98
 72-82,0,0,0,0,12.76,0,0,4.91,1.96,0.98,0.98,0.98,0,0.98,0,0.98,0,0.98,0,12.76,2.94,1.96,5.89,0,0.98,2.94,0,0.98,1.96,0,1.96,0,0,0.98,0,0.98,1.96,0
 84-94,0,0,2.12,1.06,12.74,0,2.12,8.5,2.12,1.06,4.25,3.19,0,1.06,0,0,1.06,2.12,1.06,9.56,0,4.25,9.56,0,3.19,9.56,0,0,3.19,0,2.12,0,3.19,2.12,2.12,1.06,1.06,0
 96-106,0,0,5.46,0,20.76,1.09,1.09,9.84,0,1.09,4.37,6.56,0,1.09,0,1.09,0,4.37,1.09,6.56,0,0,5.46,0,6.56,14.21,0,0,5.46,0,3.28,0,1.09,0,0,3.28,1.09,0
108-118,0,0,0.77,0.77,17.62,0,0.77,3.83,1.53,0,2.3,4.6,0,0,1.53,0.77,0,0.77,3.06,6.13,0.77,0.77,2.3,0.77,2.3,6.89,0,0,3.06,0,2.3,0,0.77,0.77,0,0.77,0.77,0
120,0,0,0,0,13.72,0,0,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,5.88,0,5.88,5.88,0,0,3.92,0,0,1.96,0,1.96,0,0,0,0,1.96,1.96,0
