stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,3,3
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,5.75,0,0,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0,0,1.61,2.42,0,0,0,0,0,1.61
 48-58,0,0,0,0.57,0,0,0,0.57,0.57,0,0,0.57,0,5.16,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,0,0,0,1.96,0,0,0.98,0,5.89,0,0,0,0.98,0,1.96
 72-82,0,0,0.98,4.91,0,0.98,0.98,0,0,0,0.98,2.94,0,9.82,0,0,0,0,0,1.96
 84-94,0,0,0,1.06,1.06,0,1.06,0,2.12,0,0,1.06,0,6.37,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,4.37,0,2.19,0,0,0,1.09
108-118,0,0,0,1.53,0,0.77,1.53,0,0.77,0.77,0,0,0.77,3.83,0,0,0,1.53,0,0.77
120,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0,0
