stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0.82,0,0,0,0,24.63,0,2.46,13.95,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.45,0.81,3.22,20.95,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,0,0.57,0,1.72,0,0,61.97,0,1.15,12.05,0,0
 60-70,0,0,0,0,0,0,25.52,0,0,0,1.96,0,0.98,0,0.98,168.82,0,0.98,24.54,0,0
 72-82,0,0,0.98,0,0.98,0,21.6,0,0.98,0.98,1.96,0,1.96,0,0.98,112.89,0,5.89,10.8,0.98,0
 84-94,0,0,1.06,0,0,0,12.74,0,3.19,1.06,4.25,0,3.19,1.06,0,55.23,0,2.12,10.62,0,1.06
 96-106,0,0,0,0,0,0,13.11,0,3.28,0,6.56,0,2.19,0,0,30.6,0,2.19,2.19,0,0
108-118,0,0,0,0,0,0.77,6.13,0,0,0,6.13,0,1.53,0.77,0,43.66,0,1.53,4.6,0,0
120,0,0,0,0,0,0,3.92,1.96,0,0,9.8,1.96,5.88,0,1.96,41.16,0,3.92,0,0,0
