stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,18.39,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,9,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,9.03,0,0,1.64,0,2.46,0,0,2.46,0,0,2.46,0,0,0,3.28,0.82,0,0.82,15.6,2.46,0.82,0,13.95,0,1.64,9.85,0,0,0,0,0
 36-46,0,0,0,0,4.03,0,0,4.83,0,4.03,0,4.03,0,0,0,0,0,0,0,1.61,0,0.81,0,20.14,0.81,0.81,0,12.89,0,0,11.28,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,4.59,0,0.57,0,3.44,0,0,0,0.57,0.57,0,0.57,4.02,0.57,0,1.72,15.49,0.57,0.57,0,5.74,0,0,10.33,0,0,0,0,0
 60-70,0,0,0,0,7.85,0,0,8.83,0,2.94,0,5.89,2.94,0,0,0,0,0,0,10.8,0,0,0.98,32.39,1.96,0,0,9.82,0,0,4.91,0,0,0,0,1.96
 72-82,0,0,0,0,7.85,0,0,11.78,0,3.93,2.94,7.85,0,0,0,0,0,0,0,15.71,0,0.98,1.96,29.45,1.96,1.96,0,7.85,0,0,1.96,0.98,1.96,1.96,0,0
 84-94,0,0,1.06,0,16.99,0,0,6.37,0,5.31,1.06,7.43,1.06,0,0,1.06,0,0,0,3.19,0,0,0,12.74,1.06,0,0,29.74,0,0,0,1.06,1.06,0,0,0
 96-106,0,0,0,0,10.93,0,0,3.28,0,5.46,0,6.56,1.09,0,0,0,0,1.09,0,8.74,2.19,1.09,2.19,8.74,1.09,1.09,0,21.86,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,18.38,1.53,1.53,3.06,0,5.36,0.77,3.83,1.53,0,0.77,0.77,0.77,0,0,6.89,0,0.77,0,12.26,0.77,1.53,0,13.79,0.77,0,0.77,1.53,0.77,1.53,0,0
120,0,0,0,0,37.24,0,0,3.92,3.92,3.92,1.96,3.92,5.88,0,0,0,0,0,0,13.72,0,0,1.96,11.76,0,0,0,9.8,1.96,0,0,1.96,0,1.96,0,0
