stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,gut,heart,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,periderm,pgc,spinal_cord,vasculature
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0
 10-12,0,0,0,0,9.44,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0
 14-21,0,0,1,1,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,2.46,0,0,1.64,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,0,2.3,0,0,0.57,0,0,0,0,0.57,0.57
 60-70,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0,1.96,1.96,0.98,1.96,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,0,1.06,0,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,1.09,1.09,0,0,4.37,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,2.3,2.3,0,0.77,0,0,0,0,0,0
