stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,1106.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,876.54,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,0,10.51,0,0,34.17,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,333.85,13.14,0,0,128.81,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,25.18,0,0,44.06,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,276.93,6.29,0,0,129.03,0,0,6.29,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,15,5,10,0,0,4,1,0,0,0,1,0,0,1,17,0,0,5,107,2,3,1,5,0,2,0,16,1,0,13,36,0,0,1,0,0
 24-34,0,0,0.82,0,7.39,0,22.98,0,0.82,4.93,0.82,0,1.64,0.82,0.82,0,0,0,21.34,0,0,10.67,194.54,1.64,0,2.46,0,0,8.21,0,0,0,0.82,4.1,45.15,0,0,3.28,0,0
 36-46,0,0,0,0,4.03,0,25.78,0,0.81,5.64,0.81,0,0.81,0,0.81,0,0.81,0,25.78,0,0.81,8.06,144.21,0.81,1.61,0.81,0,1.61,4.83,0,0,0,0,0,33.84,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,0,32.13,0,1.72,8.03,0,0,0,0,0,0,0,0,20.66,0.57,0.57,4.59,100.42,0,0,0.57,0,0,1.72,0,0,0.57,0,0,21.23,0,0,3.44,0,0.57
 60-70,0,0,0,0,2.94,0,45.15,0,0.98,9.82,0,0,0.98,0,0,0,0,0,22.58,0,0,0,100.12,0,1.96,0,0,0,6.87,0,0,0,0,0,22.58,0,0,1.96,0,0
 72-82,0,0,0,0,5.89,3.93,34.36,0,0.98,9.82,0,0,1.96,0,0.98,0,1.96,0,30.43,0,0.98,4.91,87.37,0.98,0.98,0.98,0,0,2.94,0,0,0,0,0,8.83,1.96,0.98,1.96,0.98,0.98
 84-94,0,0,1.06,0,6.37,0,36.11,1.06,2.12,12.74,3.19,1.06,1.06,3.19,2.12,0,1.06,1.06,27.61,2.12,1.06,7.43,63.72,0,1.06,1.06,0,0,13.81,0,0,1.06,0,0,5.31,0,0,3.19,2.12,0
 96-106,0,0,0,0,9.84,0,31.69,1.09,2.19,13.11,1.09,0,2.19,0,2.19,0,2.19,1.09,33.88,0,1.09,0,51.36,1.09,0,3.28,0,0,15.3,0,0,0,0,0,4.37,2.19,1.09,0,2.19,1.09
108-118,0,0,0,0,9.96,2.3,20.68,1.53,0.77,13.79,0.77,0,0.77,1.53,0.77,1.53,2.3,0,21.45,0.77,0.77,4.6,52.09,2.3,0.77,1.53,0,0,6.89,0,0,0,0,0,0,0.77,0,3.06,1.53,1.53
120,0,0,0,0,11.76,1.96,13.72,0,0,7.84,1.96,0,0,0,0,1.96,1.96,0,13.72,3.92,0,1.96,45.08,1.96,0,0,0,0,1.96,0,0,0,0,0,3.92,0,0,5.88,0,0
