stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mucous,mural.cell,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0
 14-21,0,0,0,5,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,2,0,1,2,0,1,0,0
 24-34,0,0,0,1.64,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,2.46,0,4.93,4.1,0,8.21,0.82,0,0,0.82
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,4.03,2.42,0.81,10.47,0,0,0,0
 48-58,0,0,0,3.44,0,0,1.15,0.57,0,0,0,0,0,0,0,0,0,0.57,0,1.72,5.16,0.57,3.44,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,4.91,5.89,0.98,4.91,0,0,0,0
 72-82,0,0.98,0,1.96,0.98,0,3.93,0.98,0.98,0.98,1.96,0,1.96,1.96,0,0,0,0,0.98,8.83,11.78,0,2.94,0,0.98,0,0
 84-94,0,0,0,5.31,0,1.06,2.12,0,0,0,1.06,0,0,0,0,0,1.06,0,0,2.12,4.25,2.12,3.19,0,0,0,0
 96-106,0,1.09,0,5.46,0,0,1.09,0,0,0,0,0,2.19,0,0,0,0,2.19,0,2.19,15.3,1.09,5.46,0,0,0,0
108-118,0,0,0,3.06,0,0,0,0,0,0.77,1.53,0,1.53,1.53,0.77,1.53,0.77,0,0,2.3,3.83,2.3,1.53,0.77,0,2.3,0
120,0,1.96,0,1.96,1.96,1.96,1.96,0,0,0,5.88,0,0,0,0,0,0,1.96,0,0,5.88,0,15.68,0,0,0,0
