stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,751.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,4,343,1,0,0,6,0,0,0,0,0,2,85,0,0,0,0,1,11,0,1,7,1,1,0,1,0,37,3,0,0,3,0,0,0,0,0
 24-34,0,0,0,1.64,465.43,2.46,0,4.93,72.24,0,0.82,0.82,0.82,0,12.31,134.62,0,0.82,0,0,4.93,30.37,0,2.46,24.63,0.82,13.13,0,0,0,73.88,0,0.82,0.82,7.39,0,0,4.93,0,0
 36-46,0,0,0,0,241.7,0,0,4.03,116.82,0,0.81,0.81,0,0,19.34,53.98,0,0,0,0,4.03,9.67,0,0.81,23.36,0,17.72,0,0,0,71.7,0,0.81,0,8.06,0,0,0.81,0,0
 48-58,0,0,0,0,145.17,0,0,7.46,118.2,0.57,1.72,0.57,1.72,0,14.92,18.36,0,0,0,0.57,4.59,5.74,0,0.57,21.8,0,9.18,0,0,0,41.89,0,0,0,4.02,0,0,2.87,0,0
 60-70,0,0,0,0,143.3,0,0,8.83,112.88,0.98,1.96,0,0,0,25.52,26.5,0,0,0.98,0,1.96,2.94,0,0,11.78,0,9.82,0,0,0,102.08,0,1.96,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,160.01,0.98,0,10.8,114.85,1.96,1.96,7.85,0,0.98,48.1,53.99,0,0,3.93,0,2.94,6.87,0,0.98,17.67,0,9.82,0,0,0.98,207.13,0,1.96,0,0,0.98,0.98,1.96,0.98,0
 84-94,0,0,2.12,0,301.62,2.12,0,8.5,212.41,0,3.19,16.99,0,0,64.78,84.96,1.06,0,14.87,0,2.12,9.56,1.06,2.12,11.68,0,8.5,0,0,0,557.57,0,4.25,0,2.12,2.12,0,4.25,1.06,0
 96-106,0,0,3.28,0,314.74,0,0,12.02,207.64,1.09,1.09,22.95,0,0,78.68,107.1,0,0,14.21,0,8.74,16.39,0,2.19,25.14,0,21.86,2.19,0,0,561.72,0,1.09,0,0,4.37,1.09,3.28,0,1.09
108-118,0,0,0.77,0.77,280.34,0,1.53,6.13,302.56,1.53,4.6,31.4,0,0,70.47,80.43,0.77,1.53,19.15,0,1.53,19.92,0,0.77,22.21,0,11.49,0,0,0,432.77,0,2.3,0,0,4.6,0.77,4.6,0,0.77
120,0,0,1.96,0,239.09,1.96,1.96,1.96,201.86,0,0,39.2,0,0,62.71,54.87,1.96,0,3.92,0,1.96,15.68,1.96,1.96,25.48,1.96,19.6,0,0,0,307.69,0,0,0,0,1.96,0,3.92,0,0
