stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,2609.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,1795.98,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,6.13,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,31.54,42.06,0,0,0,110.41,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,912.16,15.77,0,0,331.22,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,31.47,0,6.29,0,78.67,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,538.13,25.18,0,0,327.28,3.15,3.15,6.29,28.32,0,3.15,0,0,0,0,0
 14-21,0,0,2,23,2,0,15,0,0,0,3,3,1,1,0,1,0,0,0,0,6,0,0,10,138,3,1,3,4,9,0,42,0,0,42,45,0,1,0,0
 24-34,0,0,1.64,7.39,0,0,13.13,0.82,0,0,1.64,0,0,0,0.82,0.82,0,0,0.82,0,15.6,0,0.82,7.39,149.4,0.82,1.64,2.46,0,12.31,0,0,0,0,3.28,36.94,0,0.82,0,0
 36-46,0,0,0,0,0,0,15.31,0.81,0,1.61,2.42,0,0,0,0,0,0.81,1.61,0,0.81,14.5,0,0,4.03,126.49,0.81,2.42,0.81,0,5.64,0,0,0,0,0,24.98,0,0,0,0.81
 48-58,0,0,0,0.57,0,0,24.67,0,0,0.57,10.33,0.57,0,0.57,0,0,0,0.57,0.57,0,13.2,0,0,3.44,114.19,1.15,1.15,0,0,1.15,0,0,0,0,0,22.95,0,1.15,0,0
 60-70,0,0,0,0.98,0,0,49.08,0,0,0,13.74,0.98,0,0,0,0,0.98,0,0,0,13.74,0,0.98,2.94,110.91,0,0.98,0,0,0.98,0,0,0,0.98,0,16.69,0,0,0,0
 72-82,0,0,0,0.98,0,0,33.38,0,0,1.96,10.8,0,0,1.96,0.98,0.98,0,0,0,0,21.6,0,0.98,0,71.66,0,0.98,1.96,0,1.96,0,0,0,0,0,6.87,0,0,0,0
 84-94,0,0,0,1.06,1.06,0,33.99,0,0,1.06,2.12,2.12,0,0,3.19,0,0,0,0,0,16.99,1.06,0,3.19,54.16,0,0,0,0,6.37,0,0,1.06,0,0,7.43,0,1.06,1.06,0
 96-106,0,0,0,6.56,1.09,0,20.76,0,0,0,9.84,2.19,0,0,1.09,1.09,0,2.19,0,0,19.67,0,1.09,4.37,49.18,0,0,0,0,9.84,0,0,0,0,0,1.09,0,3.28,0,0
108-118,0,0,0,7.66,1.53,2.3,14.55,0,0.77,1.53,8.43,0,0,0,0.77,0.77,0,0,0,0,16.85,0,0,3.06,47.49,0,0,0.77,0,11.49,0,0,0.77,0,0,0,0.77,1.53,0,0
120,0,0,0,13.72,0,1.96,31.36,0,3.92,1.96,19.6,0,0,0,0,0,0,1.96,0,0,19.6,0,0,1.96,60.75,0,1.96,1.96,0,17.64,0,0,0,0,0,0,1.96,0,0,0
