stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,hatching.gland,heart,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,711.61,7656.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0
  5-6,1146.24,8238.23,0,0,0,0,0,0,6.13,0,0,0,0,0,147.11,30.65,0,85.81,104.2,0,0,0,0,0,0,0,0
  7-9,39.43,10.51,10.51,0,0,0,0,0,18.4,0,0,0,0,0,265.5,28.92,0,223.44,0,5.26,0,0,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0,28.32,3.15,0,18.88,0,0,0,138.47,0,0,0,0,0
 14-21,0,0,0,1,390,1,0,1,0,0,0,0,3,2,10,0,0,1,1,0,2,1,0,4,2,0,0
 24-34,0,0,0,1.64,8.21,0,0,0,0,0.82,0,0,0,0,4.93,0,0,0,0,0,0,0,0,2.46,1.64,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,5.64,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,1.15,0,2.3,0,0.57,0,0,0,0,0,0.57,0,1.15,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,6.87,0,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0.98,2.94,0,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,1.06,0,0,0,1.06,0,2.12,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,3.28,1.09,4.37,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,2.3,0,0,0,0,0,0.77,0,0.77,3.06,0,0,0,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
