stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,pgc,presomitic_mesoderm,somites,spinal_cord,taste
 14-21,2,2,0,0,0,0,1,0,0,0,0,0,1,16,0,0,0,0,1,1,3,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,22.16,0,0,0,0,0,0,4.1,0
 36-46,0,0,0,2.42,0,0,0,0,0,0,0.81,0,0,64.45,0,0.81,0,0,0,0,5.64,0
 48-58,0.57,0.57,0,11.48,0,0,0.57,0,0,0,0.57,0,0,111.89,0.57,0,0,0.57,0,0,10.9,0
 60-70,0.98,1.96,0,77.54,0.98,0,2.94,0.98,0,0,2.94,0,0,208.08,0,0,0.98,0,0,0,13.74,0
 72-82,0,1.96,0,279.77,0,0,8.83,0.98,0,0,4.91,0,0.98,260.14,0,0.98,0.98,0,0,0,2.94,0
 84-94,1.06,4.25,2.12,166.74,0,0,9.56,0,1.06,1.06,7.43,1.06,0,132.75,0,2.12,0,0,0,0,5.31,0
 96-106,0,1.09,2.19,155.18,0,0,10.93,1.09,0,0,4.37,0,0,130.05,0,0,0,0,0,0,2.19,0
108-118,0,3.83,0,172.34,0,0,13.02,0,0,0,3.06,0,0,144.77,0.77,0.77,0,0,0,0,3.06,0.77
120,0,1.96,0,123.47,0,1.96,5.88,1.96,0,0,3.92,0,0,156.78,0,0,0,0,0,0,1.96,0
