stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,12.59,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,2,3,2,2,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,4.93,0,0,0,11.49,0,2.46,1.64,0,0,0,0,0,3.28,0.82,0.82,0,0,0.82,0,0
 36-46,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,4.03,0,0,0,14.5,9.67,0,0.81,0,0,0,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,1.72,0.57,0,4.59,0,0,1.15,0.57,0,0,0,0,0,3.44,0,8.03,0,0.57,0,9.18,4.59,0,4.02,0,0,0,0,0,0,0,5.16,0,0,0,0,0
 60-70,0,0,0.98,0,0.98,6.87,0,0,0.98,0.98,0,0,0,0,0,14.72,0,5.89,0,0,0,11.78,1.96,0.98,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,11.78,2.94,3.93,33.38,0.98,0,0.98,6.87,1.96,0,0.98,0.98,1.96,26.5,0,29.45,0,0,0,38.28,0,2.94,32.39,0,0,2.94,0,0,2.94,0,0.98,0.98,0,1.96,0,0.98
 84-94,0,0,12.74,2.12,0,33.99,0,0,1.06,2.12,1.06,0,0,0,2.12,44.61,1.06,10.62,0,0,0,21.24,4.25,2.12,50.98,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,9.84,0,3.28,32.79,0,1.09,1.09,8.74,2.19,1.09,5.46,1.09,1.09,85.24,1.09,19.67,1.09,0,3.28,28.41,1.09,2.19,71.04,0,1.09,15.3,1.09,0,0,0,0,0,1.09,2.19,2.19,2.19
108-118,0.77,0,12.26,3.83,0.77,26.04,0,0.77,0,10.72,7.66,0,0,0,3.06,59.75,0,26.81,0.77,0.77,2.3,47.49,3.83,0.77,56.68,0,0,9.19,0,0,0,0,0,0,1.53,0.77,0.77,0
120,0,0,13.72,3.92,0,9.8,0,0,0,5.88,7.84,0,3.92,0,0,48.99,0,13.72,0,0,1.96,33.32,1.96,1.96,70.55,0,0,1.96,0,0,0,0,0,0,1.96,0,1.96,0
