stage,blastomeres,eye,fin_mesenchyme,glial,immune,mesenchyme,neural,olfactory,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,0,0
 24-34,0,0.82,0,0,0,0,1.64,0.82,0.82,0.82,0
 36-46,0,0.81,0,0,0,0,1.61,0,0,0,0
 48-58,0,0.57,0,0.57,0,1.15,5.74,0,0.57,0,0
 60-70,0,2.94,0,0,0,0,0.98,0,0.98,0,0
 72-82,0,6.87,0,0.98,0,0,0.98,0,0.98,0,0
 84-94,0,7.43,1.06,0,0,0,1.06,0,0,0,0
 96-106,0,22.95,0,0,0,0,1.09,0,0,0,0
108-118,0,15.32,0,0,0,0,3.06,0,0,0,0.77
120,0,33.32,0,0,1.96,1.96,0,0,0,0,0
