stage,epidermis,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,mucous,neural,otic,periderm,presomitic.mesoderm,spinal.cord,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,10.51,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,12.59,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,54,1,1,0
 24-34,0,0,0,0,0,1.64,0,0.82,4.1,0,144.47,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,3.22,0,116.82,0,0,0.81
 48-58,0.57,0.57,0,0.57,0,0,0,0.57,0.57,0,30.99,0,0.57,0
 60-70,6.87,0,0,0,0,0,0.98,0,0,0,50.06,0,0,0
 72-82,12.76,0,0,0,0,0,0,0,0.98,0.98,18.65,0,0,0
 84-94,30.8,0,3.19,0,1.06,2.12,0,1.06,1.06,0,76.47,0,0,0
 96-106,27.32,0,2.19,0,1.09,1.09,0,1.09,0,0,79.78,0,0,0
108-118,26.04,0,1.53,0,3.06,4.6,0,0.77,0,0,84.26,0,0,0
120,17.64,0,0,0,1.96,1.96,0,1.96,0,0,96.03,0,0,0
