stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,632.54,10476.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513.94,0,0,0,0,0,0,0,0,0,0
  5-6,1225.93,14392.38,0,24.52,0,0,0,0,0,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0,0,0,422.94,61.3,0,0,165.5,0,312.61,0,0,0,0,0,0,0,0,0,0
  7-9,197.15,239.21,0,491.57,0,2.63,0,841.19,0,0,0,0,0,289.16,0,0,0,0,0,0,0,0,0,0,0,7833.57,273.39,0,0,3235.95,0,28.92,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,179.38,0,270.64,0,34.62,0,509.81,0,0,0,0,0,88.12,0,0,0,0,0,0,0,0,0,0,0,4386.88,75.53,0,0,1944.83,0,12.59,34.62,12.59,223.43,9.44,22.03,0,0,0,0,0
 14-21,1,0,0,18,129,39,0,100,0,0,0,17,5,2,1,4,5,0,0,0,0,77,0,0,69,1321,25,13,14,51,0,56,1,220,6,153,400,0,0,7,0,0
 24-34,0,0.82,0,3.28,91.12,22.16,0,412.07,0,1.64,2.46,38.58,3.28,0.82,4.1,6.57,0.82,4.1,7.39,3.28,0,255.29,1.64,1.64,94.4,2459.28,25.45,20.52,32.83,0,0,132.98,0,2.46,5.75,18.88,517.96,0,0,48.43,0,4.1
 36-46,0,0,0,0.81,37.87,19.34,0,1032.06,0.81,0.81,0.81,38.67,0.81,0,4.03,15.31,1.61,4.83,3.22,1.61,1.61,209.47,4.03,8.86,70.09,1766.83,6.45,19.34,9.67,0,0,57.2,0,1.61,2.42,0,408.47,0,0,27.39,0,5.64
 48-58,0,0,0,0.57,52.79,22.38,0,1086.79,1.15,1.72,1.72,46.48,1.72,0,6.31,10.33,1.15,8.61,2.87,3.44,0.57,253.05,1.15,12.62,55.09,874.48,6.31,5.74,9.18,0,0,22.38,0,0,2.3,0,160.09,0,0,17.21,0.57,7.46
 60-70,0,0,0,0,51.04,8.83,0,730.25,0,0.98,0.98,58.89,7.85,0,0.98,8.83,0,16.69,5.89,0.98,0,176.67,1.96,14.72,37.3,469.17,6.87,2.94,6.87,0,0,13.74,0,0,2.94,0,28.46,0,0,13.74,0.98,2.94
 72-82,0,0,0,0.98,47.12,6.87,0,287.63,0,0.98,3.93,65.77,12.76,0,1.96,20.61,4.91,12.76,0.98,1.96,0,184.55,1.96,6.87,27.49,302.35,3.93,12.76,4.91,0.98,0.98,14.72,0,0,1.96,0,12.76,1.96,0,23.56,0,0
 84-94,0,0,1.06,2.12,62.66,10.62,3.19,253.83,0,3.19,0,45.67,21.24,0,1.06,12.74,6.37,14.87,3.19,4.25,0,158.24,0,16.99,43.54,293.12,3.19,5.31,5.31,0,0,22.3,0,0,1.06,0,6.37,5.31,1.06,24.43,1.06,1.06
 96-106,0,0,0,0,45.9,13.11,1.09,178.13,0,1.09,0,43.71,24.04,0,5.46,26.23,2.19,16.39,4.37,3.28,0,96.17,0,8.74,16.39,214.2,4.37,5.46,7.65,0,1.09,22.95,0,0,3.28,0,3.28,3.28,0,24.04,0,0
108-118,0,0,0,0.77,27.57,20.68,0.77,165.45,0,0,0,45.96,15.32,0,0,23.74,0.77,16.09,2.3,2.3,0.77,54.38,0,5.36,24.51,241.28,1.53,7.66,6.13,0,0,13.02,0.77,0,3.06,0,2.3,3.06,0,15.32,0,0.77
120,0,0,0,0,19.6,27.44,0,176.38,0,0,0,41.16,7.84,0,0,25.48,3.92,7.84,0,1.96,0,74.47,0,0,15.68,272.41,0,3.92,5.88,0,0,11.76,0,0,0,0,3.92,0,0,15.68,0,0
