stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,34.17,0,0,13.14,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,2,0,0
 24-34,0,0,0,0,0,2.46,0,0,0.82,0,0,0,0,0,0,0,6.57,0,0.82,0.82,0.82,0,0,0.82,0,1.64,1.64,4.93,0,0
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0.81,0,0,0,0,17.72,2.42,3.22,4.83,0,0,0,0,0,0,0,1.61,0.81,0
 48-58,0,0,0,0,0,1.15,1.72,0,0,1.72,0,0.57,0,0,0,0.57,16.07,1.15,6.31,2.87,0.57,0,0,0,0,0,0,5.74,0,0
 60-70,0,0,0,0,0,0.98,0.98,0.98,0,7.85,0,0,0,0,0,0,24.54,3.93,6.87,4.91,0,0.98,0,0.98,0,0,0,2.94,0.98,0
 72-82,0,0,0,0,0,0.98,1.96,0,0,11.78,0,0,0.98,0.98,0,0,32.39,1.96,3.93,7.85,0,0.98,0,1.96,0.98,0,0,3.93,0,2.94
 84-94,0,0,0,1.06,0,3.19,2.12,0,0,5.31,1.06,0,0,0,0,0,35.05,1.06,3.19,8.5,0,0,0,1.06,0,0,0,5.31,0,0
 96-106,0,0,0,2.19,0,3.28,4.37,0,0,9.84,0,0,0,0,2.19,0,24.04,3.28,0,7.65,0,2.19,0,5.46,0,0,0,0,0,2.19
108-118,0,0,0,2.3,0,0.77,3.83,0,0,5.36,0,0,0,0,0,1.53,19.15,0,3.06,5.36,0,2.3,0,5.36,0.77,0,0,0,0,0.77
120,0,0,0,3.92,0,3.92,5.88,0,0,0,0,0,0,0,0,0,17.64,1.96,1.96,3.92,0,1.96,0,0,1.96,0,0,1.96,1.96,0
