stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,3.15,0,6.29,0,0,0,0,0,50.35,0,0,0,0,0,0,0,0,0,0,116.44,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,53,7,0,3,0,1,0,1,2,3,2,0,0,0,0,0,2,9,0,4,28,0,0,4,0,0,0,2,4,68,0,3,6,0,0,7,0,0
 24-34,0,0,0.82,13.13,1.64,0,11.49,0,4.93,0,0,0.82,0,0.82,0,0,0,0,2.46,5.75,12.31,0,4.1,55,0,1.64,9.03,0,0,2.46,0,0,108.35,0.82,0,6.57,0,0,38.58,0,2.46
 36-46,0,0,0,5.64,0,0,6.45,0,1.61,0,0,0,0,0.81,0.81,0,0,1.61,0,4.03,14.5,0,1.61,29,0.81,0,7.25,0,0,0.81,0,0,64.45,1.61,0,2.42,0,0,12.09,0,4.03
 48-58,0,0,0,1.15,0.57,0,22.38,0,0.57,0,1.72,0,0,0,0,0,0,1.72,0,4.59,22.38,0.57,1.72,17.79,0,1.15,3.44,0,0,0.57,0,0,43.61,1.72,0,3.44,0,0,15.49,0,0.57
 60-70,0,0,0,0.98,0,0,100.12,0,5.89,0,3.93,0.98,0,1.96,2.94,0,0.98,0.98,0.98,0.98,24.54,0.98,0,15.7,0,0,3.93,0,0,0.98,0,0,49.08,0.98,0,0,0,0,11.78,0,1.96
 72-82,0,0,0,0,0.98,0,73.62,1.96,0.98,2.94,3.93,0,0.98,0.98,1.96,1.96,0,0.98,1.96,0.98,51.05,0,0.98,25.52,0,0,7.85,0,0,0.98,0,0,73.62,0,0,1.96,0,2.94,26.5,1.96,0.98
 84-94,0,0,0,1.06,0,0,54.16,3.19,0,1.06,2.12,2.12,0,1.06,2.12,2.12,0,2.12,1.06,2.12,31.86,1.06,2.12,13.81,0,2.12,16.99,0,1.06,1.06,0,0,164.62,0,0,0,0,0,23.36,1.06,0
 96-106,0,0,0,5.46,1.09,0,31.69,1.09,2.19,0,2.19,1.09,0,0,5.46,4.37,1.09,0,0,2.19,54.64,0,1.09,15.3,0,2.19,14.21,0,1.09,1.09,0,0,150.81,3.28,0,0,1.09,1.09,26.23,1.09,1.09
108-118,0,0,0,2.3,0,0.77,21.45,0.77,1.53,2.3,6.13,1.53,0,0.77,1.53,4.6,1.53,1.53,2.3,2.3,49.79,0.77,0.77,18.38,0,0,15.32,0,0,0,0,0,131.75,6.89,0,0.77,0,0.77,8.43,0,0.77
120,0,0,0,9.8,1.96,0,11.76,5.88,1.96,3.92,5.88,0,0,0,0,3.92,0,1.96,0,1.96,33.32,0,0,31.36,0,1.96,9.8,0,0,0,0,0,96.03,0,0,0,0,0,13.72,0,1.96
