stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,xanthophores
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,7,0,0,0,0,0,0,1,159,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,3,1,1,5,5,0,0
 24-34,0,0,4.93,0,0.82,0,0,1.64,1.64,0,69.77,0,0.82,0,0,0,0.82,0.82,0,0.82,18.06,0,0,0,0,0.82,0,0,0.82,3.28,9.85,0,0.82
 36-46,0,0,0.81,0,0,0,0,3.22,0,0.81,19.34,0,0.81,0,0.81,0,0.81,0,0,0,11.28,0,0,0,0,0.81,0,0,0,0,1.61,0,1.61
 48-58,0,0,0,0,3.44,0,0,2.3,0,0,39.59,0,0,0.57,0,0,4.02,1.15,0,1.15,6.89,0,0,0,0,0,0,0,0,0,1.15,0,2.3
 60-70,0,0,1.96,0,4.91,0,0,1.96,0.98,0,14.72,0,0.98,0,0,0,0.98,0,0,0.98,5.89,0,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,8.83,0.98,0.98,2.94,6.87,0,14.72,0,0,0,0,0,0,2.94,1.96,0.98,9.82,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,4.25,0,1.06,0,0,5.31,2.12,0,18.05,1.06,0,0,0,0,7.43,1.06,0,1.06,3.19,0,0,0,0,1.06,0,1.06,0,0,1.06,1.06,1.06
 96-106,0,0,5.46,0,5.46,0,0,1.09,1.09,0,0,0,0,0,0,0,2.19,4.37,1.09,0,1.09,0,1.09,0,1.09,2.19,0,1.09,0,0,0,0,0
108-118,0,0,3.06,0.77,7.66,0,0.77,0.77,3.06,0.77,0,2.3,0,0.77,0,0,5.36,1.53,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,1.96,1.96,3.92,0,0,0,3.92,1.96,0,1.96,0,0,0,1.96,5.88,1.96,0,0,3.92,0,0,0,0,3.92,0,0,0,0,0,0,0
